memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
8 GB,<title>Lenovo IdeaPad 100 80QQ004DHV Notebook Árak - Lenovo IdeaPad 100 80QQ004DHV Laptop Akció</title>,1 GB,2 GHz,1,"
          109 999 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-100-80qq004dhv-p311165423/,Nvidia GeForce 920M,4 GB,Dedikált,5005U,1600 MHz,"15.6"""
,<title>ASUS VivoBook Max X541UJ-DM026 Notebook Árak - ASUS VivoBook Max X541UJ-DM026 Laptop Akció</title>,2 GB,2.5 GHz,,"
          189 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/vivobook-max-x541uj-dm026-p361321349/,Nvidia GeForce 930M,8 GB,Dedikált,7200U,2133 MHz,"15.6"""
16 GB,<title>ASUS VivoBook X556UQ-DM479D Notebook Árak - ASUS VivoBook X556UQ-DM479D Laptop Akció</title>,2 GB,2.5 GHz,1,"
          179 900 Ft
        ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/vivobook-x556uq-dm479d-p361571587/,Nvidia GeForce 940MX,8 GB,Dedikált,7200U,2133 MHz,"15"""
32 GB,<title>Dell Inspiron 5567 223763 Notebook Árak - Dell Inspiron 5567 223763 Laptop Akció</title>,4 GB,2.7 GHz,2,"
          279 900 Ft-tól
      ",Linux,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-223763-p353924361/,AMD Radeon R7 M445,16 GB,Dedikált,7500U,2400 MHz,"15.6"""
,<title>HP Pavilion 15-ab206nh P1E93EA Notebook Árak - HP Pavilion 15-ab206nh P1E93EA Laptop Akció</title>,2 GB,2.2 GHz,,"
          149 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/hp/pavilion-15-ab206nh-p1e93ea-p310938059/,Nvidia GeForce 940M,4 GB,Dedikált,5200U,1600 MHz,"15.6"""
16 GB,<title>Toshiba Satellite L50-C-158 Notebook Árak - Toshiba Satellite L50-C-158 Laptop Akció</title>,2 GB,2.4 GHz,2,"
          189 990 Ft
        ",Operációs rendszer nélkül,Intel Core i7,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/toshiba/satellite-l50-c-158-p291012951/,Nvidia GeForce 930M,4 GB,Dedikált,5500U,1600 MHz,"15.6"""
16 GB,<title>Acer Aspire E5-573G-31DL LIN NX.MW4EU.015 Notebook Árak - Acer Aspire E5-573G-31DL LIN NX.MW4EU.015 Laptop Akció</title>,2 GB,2 GHz,2,"129 900 Ft 
      ",Linux,Intel Core i3,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/acer/aspire-e5-573g-31dl-lin-nx-mw4eu-015-p333513067/,Nvidia GeForce 920M,4 GB,Dedikált,5005U,1600 MHz,"15.6"""
,<title>HP Pavilion 15-aw010nh 1BW99EA Notebook Árak - HP Pavilion 15-aw010nh 1BW99EA Laptop Akció</title>,4 GB,2.4 GHz,,"
          149 900 Ft-tól
      ",Operációs rendszer nélkül,AMD A-sorozat,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/hp/pavilion-15-aw010nh-1bw99ea-p358916561/,AMD Radeon R7 M440,4 GB,Dedikált,A10-9600P,2133 MHz,"15.6"""
,<title>Dell Inspiron 3567 DI3567A2-7500-8GH1TD4BK-11 Notebook Árak - Dell Inspiron 3567 DI3567A2-7500-8GH1TD4BK-11 Laptop Akció</title>,2 GB,2.7 GHz,,"
          201 760 Ft-tól
      ",Linux,Intel Core i7,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-3567-di3567a2-7500-8gh1td4bk-11-p355968227/,AMD Radeon R5 M430,8 GB,Dedikált,7500U,2133 MHz,"15.6"""
16 GB,<title>ASUS VivoBook X556UQ-DM787D Notebook Árak - ASUS VivoBook X556UQ-DM787D Laptop Akció</title>,2 GB,2.4 GHz,1,"
          154 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/vivobook-x556uq-dm787d-p352809007/,Nvidia GeForce 940MX,4 GB,Dedikált,7100U,2133 MHz,"15.6"""
,<title>Acer TravelMate EX2520G-38JG LIN NX.EFDEU.008 Notebook Árak - Acer TravelMate EX2520G-38JG LIN NX.EFDEU.008 Laptop Akció</title>,2 GB,2 GHz,,"
          146 990 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/travelmate-ex2520g-38jg-lin-nx-efdeu-008-p363214503/,Nvidia GeForce 940M,8 GB,Dedikált,6006U,1600 MHz,"15.6"""
16 GB,<title>Lenovo IdeaPad B50-80 80EW039JHV Notebook Árak - Lenovo IdeaPad B50-80 80EW039JHV Laptop Akció</title>,2 GB,2 GHz,2,"
          138 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-b50-80-80ew039jhv-p355532057/,AMD Radeon R5 M330,6 GB,Dedikált,5005U,1600 MHz,"15.6"""
32 GB,<title>Dell Inspiron 5567 223632 Notebook Árak - Dell Inspiron 5567 223632 Laptop Akció</title>,4 GB,2.5 GHz,2,"
          214 900 Ft-tól
      ",Linux,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-223632-p353924241/,AMD Radeon R7 M445,8 GB,Dedikált,7200U,2400 MHz,"15.6"""
,<title>Dell Inspiron 5567 DI5567A4-7200-8GH1TDF3SW-11 Notebook Árak - Dell Inspiron 5567 DI5567A4-7200-8GH1TDF3SW-11 Laptop Akció</title>,4 GB,2.5 GHz,,"
          204 810 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-di5567a4-7200-8gh1tdf3sw-11-p353924849/,AMD Radeon R7 M445,8 GB,Dedikált,7200U,2400 MHz,"15.6"""
12 GB,<title>ASUS X556UB-DM165D Notebook Árak - ASUS X556UB-DM165D Laptop Akció</title>,2 GB,2.5 GHz,1,"239 990 Ft 
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/x556ub-dm165d-p336471062/,Nvidia GeForce 940M,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>ASUS X540LJ-XX572T Notebook Árak - ASUS X540LJ-XX572T Laptop Akció</title>,2 GB,2 GHz,,"
          134 999 Ft-tól
      ",Windows 10 Home,Intel Core i3,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/asus/x540lj-xx572t-p346620166/,Nvidia GeForce 920M,4 GB,Dedikált,5005U,1600 MHz,"15.6"""
,<title>Lenovo IdeaPad 110 80UD00K9HV Notebook Árak - Lenovo IdeaPad 110 80UD00K9HV Laptop Akció</title>,2 GB,2 GHz,,"
          119 899 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-110-80ud00k9hv-p357218303/,AMD Radeon R5 M430,4 GB,Dedikált,6006U,2133 MHz,"15.6"""
32 GB,<title>HP ProBook 450 G4 Y7Z97EA Notebook Árak - HP ProBook 450 G4 Y7Z97EA Laptop Akció</title>,2 GB,2.7 GHz,2,"
          285 914 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/hp/probook-450-g4-y7z97ea-p349045292/,Nvidia GeForce 930MX,8 GB,Dedikált,7500U,2133 MHz,"15.6"""
,<title>Lenovo IdeaPad Y700 80NV0163HV Notebook Árak - Lenovo IdeaPad Y700 80NV0163HV Laptop Akció</title>,4 GB,2.3 GHz,,"
          223 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-y700-80nv0163hv-p358255057/,Nvidia GeForce GTX 960M,4 GB,Dedikált,6300HQ,2133 MHz,"15.6"""
,<title>Dell Inspiron 5567 DI5567A2-7200-8GH1TW13SW-11 Notebook Árak - Dell Inspiron 5567 DI5567A2-7200-8GH1TW13SW-11 Laptop Akció</title>,2 GB,2.5 GHz,,"
          218 890 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-di5567a2-7200-8gh1tw13sw-11-p354071045/,AMD Radeon R7 M445,8 GB,Dedikált,7200U,2400 MHz,"15.6"""
,<title>Lenovo Legion Y520 80WK0041GE Notebook Árak - Lenovo Legion Y520 80WK0041GE Laptop Akció</title>,2 GB,,,"
          282 844 Ft
        ",Windows 10 Home,Intel Core i5,,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/legion-y520-80wk0041ge-p366053097/,Nvidia GeForce GTX 1050,8 GB,Dedikált,7300HQ,,"15.6"""
,<title>Dell Inspiron 5567 DI5567A2-7200-8GH1TW13FG-11 Notebook Árak - Dell Inspiron 5567 DI5567A2-7200-8GH1TW13FG-11 Laptop Akció</title>,2 GB,2.5 GHz,,"
          218 890 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-di5567a2-7200-8gh1tw13fg-11-p354070965/,AMD Radeon R7 M445,8 GB,Dedikált,7200U,2400 MHz,"15.6"""
,<title>Dell Inspiron 5567 228898 Notebook Árak - Dell Inspiron 5567 228898 Laptop Akció</title>,4 GB,2.7 GHz,,"
          276 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-228898-p365320045/,AMD Radeon R7 M445,16 GB,Dedikált,7500U,2400 MHz,"15.6"""
,<title>Dell Inspiron 5567 DI5567A2-7200-4GH1TDF3FG-11 Notebook Árak - Dell Inspiron 5567 DI5567A2-7200-4GH1TDF3FG-11 Laptop Akció</title>,2 GB,2.5 GHz,,"
          180 300 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-di5567a2-7200-4gh1tdf3fg-11-p356295929/,AMD Radeon R7 M445,4 GB,Dedikált,7200U,2400 MHz,"15.6"""
,<title>ASUS VivoBook X556UQ-XO760T Notebook Árak - ASUS VivoBook X556UQ-XO760T Laptop Akció</title>,2 GB,,,"
          185 313 Ft
        ",Windows 10 Home,Intel Core i5,,1366 x 768,https://www.arukereso.hu/notebook-c3100/asus/vivobook-x556uq-xo760t-p359061441/,Nvidia GeForce 940MX,8 GB,Dedikált,7200U,,"15.6"""
,<title>Dell Inspiron 3567 DI3567A2-6006-4GH1TW14BK-11 Notebook Árak - Dell Inspiron 3567 DI3567A2-6006-4GH1TW14BK-11 Laptop Akció</title>,2 GB,2 GHz,,"
          166 080 Ft-tól
      ",Windows 10 Home,Intel Core i3,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-3567-di3567a2-6006-4gh1tw14bk-11-p355968171/,AMD Radeon R5 M430,4 GB,Dedikált,6006U,2133 MHz,"15.6"""
,<title>Dell Inspiron 5567 DI5567A2-7200-4GH50W13BK-11 Notebook Árak - Dell Inspiron 5567 DI5567A2-7200-4GH50W13BK-11 Laptop Akció</title>,2 GB,2.5 GHz,,"
          200 240 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-di5567a2-7200-4gh50w13bk-11-p353277349/,AMD Radeon R7 M445,4 GB,Dedikált,7200U,2400 MHz,"15,6"""
,<title>Acer Aspire E5-774G-304B LIN NX.GG7EU.034 Notebook Árak - Acer Aspire E5-774G-304B LIN NX.GG7EU.034 Laptop Akció</title>,2 GB,2 GHz,,"
          137 590 Ft-tól
      ",Linux,Intel Core i3,DDR4,1600 x 900,https://www.arukereso.hu/notebook-c3100/acer/aspire-e5-774g-304b-lin-nx-gg7eu-034-p358837831/,Nvidia GeForce 940MX,4 GB,Dedikált,6006U,2133 MHz,"17.3"""
32 GB,<title>HP ProBook 450 G4 Y8A38EA Notebook Árak - HP ProBook 450 G4 Y8A38EA Laptop Akció</title>,2 GB,2.5 GHz,2,"
          264 478 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/hp/probook-450-g4-y8a38ea-p348452766/,Intel HD 620,8 GB,Dedikált,7200U,2133 MHz,"15.6"""
16 GB,<title>Lenovo ThinkPad Edge E560 20EV0031GE Notebook Árak - Lenovo ThinkPad Edge E560 20EV0031GE Laptop Akció</title>,2 GB,2.5 GHz,2,"
          229 361 Ft
        ",Windows 10 Pro,Intel Core i7,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/thinkpad-edge-e560-20ev0031ge-p350977627/,Intel HD 520,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>Lenovo IdeaPad Y700 80NV0169HV Notebook Árak - Lenovo IdeaPad Y700 80NV0169HV Laptop Akció</title>,4 GB,2.6 GHz,,"
          283 150 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-y700-80nv0169hv-p359474265/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
,<title>Acer Aspire F5-573G-5375 LIN NX.GD9EU.007 Notebook Árak - Acer Aspire F5-573G-5375 LIN NX.GD9EU.007 Laptop Akció</title>,4 GB,2.5 GHz,,"
          194 900 Ft-tól
      ",Linux,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-f5-573g-5375-lin-nx-gd9eu-007-p350977591/,Nvidia GeForce 940MX,8 GB,Dedikált,7200U,2133 MHz,"15.6"""
,<title>Lenovo V110 80TL00PEHV Notebook Árak - Lenovo V110 80TL00PEHV Laptop Akció</title>,2 GB,2 GHz,,"
          120 690 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/v110-80tl00pehv-p361314515/,AMD Radeon R5 M430,4 GB,Dedikált,6006U,2133 MHz,"15.6"""
16 GB,<title>Acer Aspire E5-772G-79CV LIN NX.G61EU.003 Notebook Árak - Acer Aspire E5-772G-79CV LIN NX.G61EU.003 Laptop Akció</title>,2 GB,2.4 GHz,2,"
          213 959 Ft
        ",Linux,Intel Core i7,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-e5-772g-79cv-lin-nx-g61eu-003-p283387963/,Nvidia GeForce 940M,4 GB,Dedikált,5500U,1600 MHz,"17.3"""
,<title>Acer Aspire E5-575G-582K LIN NX.GDZEU.034 Notebook Árak - Acer Aspire E5-575G-582K LIN NX.GDZEU.034 Laptop Akció</title>,2 GB,2.5 GHz,,"
          194 390 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-e5-575g-582k-lin-nx-gdzeu-034-p351170063/,Nvidia GeForce GTX 950M,4 GB,Dedikált,7200U,2133 MHz,"15.6"""
,<title>Dell Inspiron 5767 INSP5767-1 Notebook Árak - Dell Inspiron 5767 INSP5767-1 Laptop Akció</title>,4 GB,2.5 GHz,,"
          239 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5767-insp5767-1-p353367347/,AMD Radeon R7 M445,8 GB,Dedikált,7200U,2400 MHz,"17.3"""
,<title>Dell Inspiron 5567 INSP5567-34 Notebook Árak - Dell Inspiron 5567 INSP5567-34 Laptop Akció</title>,4 GB,2.7 GHz,,"
          229 133 Ft-tól
      ",Linux,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-insp5567-34-p356818603/,AMD Radeon R7 M445,8 GB,Dedikált,7500U,2400 MHz,"15.6"""
,<title>MSI GP62 6QE-1266XFR Notebook Árak - MSI GP62 6QE-1266XFR Laptop Akció</title>,2 GB,2.3 GHz,,"
          240 165 Ft
        ",Operációs rendszer nélkül,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/msi/gp62-6qe-1266xfr-p355527495/,Nvidia GeForce GTX 950M,8 GB,Dedikált,6300HQ,2133 MHz,"15.6"""
,<title>Dell Inspiron 5567 225373 Notebook Árak - Dell Inspiron 5567 225373 Laptop Akció</title>,2 GB,2.5 GHz,,"
          199 990 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-225373-p358837473/,AMD Radeon R7 M445,4 GB,Dedikált,7200U,2400 MHz,"15.6"""
12 GB,<title>ASUS ZenBook UX303UB-R4020T Notebook Árak - ASUS ZenBook UX303UB-R4020T Laptop Akció</title>,2 GB,2.3 GHz,1,"
          259 990 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/zenbook-ux303ub-r4020t-p332410891/,Nvidia GeForce 940M,8 GB,Dedikált,6200U,1600 MHz,"13.3"""
16 GB,<title>MSI GP62 2QE-050XHU Notebook Árak - MSI GP62 2QE-050XHU Laptop Akció</title>,2 GB,2.7 GHz,2,"
          279 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/msi/gp62-2qe-050xhu-p306340337/,Nvidia GeForce GTX 950M,8 GB,Dedikált,5700HQ,1600 MHz,"15.6"""
16 GB,<title>Dell Inspiron 5559 210762 Notebook Árak - Dell Inspiron 5559 210762 Laptop Akció</title>,2 GB,2.3 GHz,2,"
          174 900 Ft
        ",Operációs rendszer nélkül,Intel Core i5,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-210762-p333280743/,AMD Radeon R5 M335,8 GB,Dedikált,6200U,1600 MHz,"15.6"""
8 GB,<title>Lenovo IdeaPad 100 80QQ01DNRI Notebook Árak - Lenovo IdeaPad 100 80QQ01DNRI Laptop Akció</title>,2 GB,2.6 GHz,1,"
          134 900 Ft
        ",Operációs rendszer nélkül,Intel Core i5,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-100-80qq01dnri-p355171727/,Nvidia GeForce 920MX,4 GB,Dedikált,4288U,1600 MHz,"15"""
,<title>Lenovo IdeaPad 510 80SV00L2HV Notebook Árak - Lenovo IdeaPad 510 80SV00L2HV Laptop Akció</title>,4 GB,2.5 GHz,,"
          197 999 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-510-80sv00l2hv-p356511349/,Nvidia GeForce 940MX,4 GB,Dedikált,7200U,2133 MHz,"15,6"""
,<title>Dell Vostro 3568 227849 Notebook Árak - Dell Vostro 3568 227849 Laptop Akció</title>,2 GB,2.7 GHz,,"
          204 037 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/vostro-3568-227849-p361315517/,AMD Radeon R5 M420X,4 GB,Dedikált,7500U,2400 MHz,"15.6"""
12 GB,<title>ASUS X550VX-XX037D Notebook Árak - ASUS X550VX-XX037D Laptop Akció</title>,4 GB,2.6 GHz,1,"
          239 990 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/asus/x550vx-xx037d-p335123966/,Nvidia GeForce GTX 950M,8 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
16 GB,<title>ASUS VivoBook Pro N552VW-FW113D Notebook Árak - ASUS VivoBook Pro N552VW-FW113D Laptop Akció</title>,4 GB,2.3 GHz,2,"
          262 865 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/vivobook-pro-n552vw-fw113d-p338867128/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6300HQ,2133 MHz,"15.6"""
,<title>Dell Inspiron 5567 DI5567A2-7200-8GH1TD3FG-11 Notebook Árak - Dell Inspiron 5567 DI5567A2-7200-8GH1TD3FG-11 Laptop Akció</title>,2 GB,2.5 GHz,,"
          190 210 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-di5567a2-7200-8gh1td3fg-11-p353277355/,AMD Radeon R7 M445,8 GB,Dedikált,7200U,2133 MHz,"15.6"""
,<title>Dell Inspiron 3567 226379 Notebook Árak - Dell Inspiron 3567 226379 Laptop Akció</title>,2 GB,2.5 GHz,,"
          166 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/inspiron-3567-226379-p360772235/,AMD Radeon R5 M430,4 GB,Dedikált,7200U,2400 MHz,"15.6"""
