memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>HP Pavilion 15-au100nh Y3V49EA Notebook Árak - HP Pavilion 15-au100nh Y3V49EA Laptop Akció</title>,2 GB,2.4 GHz,,"
          199 900 Ft
        ",Windows 10 Home,Intel Core i3,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/hp/pavilion-15-au100nh-y3v49ea-p352219221/,Nvidia GeForce 940MX,8 GB,Dedikált,7100U,,"15.6"""
,<title>Lenovo Legion Y520 80WK009CHV Notebook Árak - Lenovo Legion Y520 80WK009CHV Laptop Akció</title>,4 GB,2.8 GHz,,"
          296 600 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/legion-y520-80wk009chv-p361569725/,Nvidia GeForce GTX 1050,8 GB,Dedikált,7700HQ,2400 MHz,"15.6"""
,<title>Dell Vostro 3568 V3568-17 Notebook Árak - Dell Vostro 3568 V3568-17 Laptop Akció</title>,2 GB,2.7 GHz,,"
          198 900 Ft-tól
      ",Linux,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/vostro-3568-v3568-17-p357412031/,AMD Radeon R5 M420X,4 GB,Dedikált,7500U,2400 MHz,"15.6"""
12 GB,<title>ASUS X751SJ-TY002T Notebook Árak - ASUS X751SJ-TY002T Laptop Akció</title>,1 GB,1.6 GHz,1,"
          144 900 Ft-tól
      ",Windows 10 Home,Intel Pentium,DDR3,1600 x 900,https://www.arukereso.hu/notebook-c3100/asus/x751sj-ty002t-p333136793/,Nvidia GeForce 920M,4 GB,Dedikált,N3700,1600 MHz,"17.3"""
,<title>HP 15-ac129nh V2H60EA Notebook Árak - HP 15-ac129nh V2H60EA Laptop Akció</title>,2 GB,2 GHz,,"
          129 990 Ft
        ",Operációs rendszer nélkül,Intel Core i3,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/hp/15-ac129nh-v2h60ea-p332552301/,AMD Radeon R5 M330,4 GB,Dedikált,5005U,1333 MHz,"15.6"""
,<title>HP Pavilion 17-g153nh P1Q51EA Notebook Árak - HP Pavilion 17-g153nh P1Q51EA Laptop Akció</title>,2 GB,1.8 GHz,,"
          159 650 Ft-tól
      ",Operációs rendszer nélkül,AMD A-sorozat,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/hp/pavilion-17-g153nh-p1q51ea-p321894245/,AMD Radeon R7 M360,8 GB,Dedikált,A10-8700P,1600 MHz,"17.3"""
,<title>Lenovo Legion Y520 80WK009GHV Notebook Árak - Lenovo Legion Y520 80WK009GHV Laptop Akció</title>,4 GB,2.5 GHz,,"
          292 890 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/legion-y520-80wk009ghv-p365200843/,Nvidia GeForce GTX 1050,8 GB,Dedikált,7300HQ,2400 MHz,"15.6"""
,<title>Dell Vostro 3568 223044 Notebook Árak - Dell Vostro 3568 223044 Laptop Akció</title>,2 GB,2.7 GHz,,"
          199 654 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/vostro-3568-223044-p354538627/,AMD Radeon R5 M420X,4 GB,Dedikált,7500U,2133 MHz,"15.6"""
16 GB,<title>Lenovo IdeaPad Y700 80NV00EXHV Notebook Árak - Lenovo IdeaPad Y700 80NV00EXHV Laptop Akció</title>,2 GB,2.3 GHz,2,"
          224 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-y700-80nv00exhv-p325958041/,Nvidia GeForce GTX 960M,4 GB,Dedikált,6300HQ,1600 MHz,"15.6"""
,<title>Lenovo ThinkPad Edge E470 20H1S02B00 Notebook Árak - Lenovo ThinkPad Edge E470 20H1S02B00 Laptop Akció</title>,2 GB,2.5 GHz,,"
          246 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/thinkpad-edge-e470-20h1s02b00-p360587227/,Nvidia GeForce 940MX,8 GB,Dedikált,7200U,2400 MHz,"14"""
8 GB,<title>Lenovo IdeaPad 500S 80Q20063HV Notebook Árak - Lenovo IdeaPad 500S 80Q20063HV Laptop Akció</title>,2 GB,2.3 GHz,1,"199 999 Ft 
      ",Operációs rendszer nélkül,Intel Core i5,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-500s-80q20063hv-p327644221/,Nvidia GeForce 920M,4 GB,Dedikált,6200U,1600 MHz,"13.3"""
16 GB,<title>Acer Aspire E5-571G-570J LIN NX.MRFEU.032 Notebook Árak - Acer Aspire E5-571G-570J LIN NX.MRFEU.032 Laptop Akció</title>,2 GB,1.7 GHz,2,"139 900 Ft 
      ",Linux,Intel Core i5,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/acer/aspire-e5-571g-570j-lin-nx-mrfeu-032-p310131595/,Nvidia GeForce 820M,4 GB,Dedikált,4210U,1600 MHz,"15.6"""
8 GB,<title>ASUS X540LJ-XX609D Notebook Árak - ASUS X540LJ-XX609D Laptop Akció</title>,1 GB,2 GHz,1,"
          129 769 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/asus/x540lj-xx609d-p343327042/,Nvidia GeForce 920M,4 GB,Dedikált,5005U,1600 MHz,"15.6"""
