core,name,clock,price,rank,link,other_name,g3d_mark,description
1Typical TDP:-1 W,686 Gen,,,288,http://www.cpubenchmark.net/cpu.php?cpu=686+Gen&id=1495,686 Gen,,
"Description:Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+Clockspeed:4.1 GHzTurbo Speed:4.3 GHz4 (in 2 physical modules)Typical TDP:95 W",AMD A10-7890K,"Description:Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+4.1 GHzTurbo Speed:4.3 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:95 W",,5746Single Thread Rating: 1712,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7890K&id=2744,"AMD A10-7890K Radeon R7, 12 Compute Cores 4C+8G",,"Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+Clockspeed:4.1 GHzTurbo Speed:4.3 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:95 W"
"Description:Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+Clockspeed:3.9 GHzTurbo Speed:4.1 GHz4 (in 2 physical modules)Typical TDP:95 W",AMD A10-7870K,"Description:Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+3.9 GHzTurbo Speed:4.1 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:95 W",,5497Single Thread Rating: 1545,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7870K&id=2531,"AMD A10-7870K Radeon R7, 12 Compute Cores 4C+8G",,"Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+Clockspeed:3.9 GHzTurbo Speed:4.1 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:95 W"
"Description:Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+Clockspeed:3.6 GHzTurbo Speed:4.0 GHz4 (in 2 physical modules)Typical TDP:65 W",AMD A10-7860K,"Description:Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+3.6 GHzTurbo Speed:4.0 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:65 W",,5130Single Thread Rating: 1578,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7860K&id=2722,"AMD A10-7860K Radeon R7, 12 Compute Cores 4C+8G",,"Radeon R7, 12 Compute Cores 4C+8GSocket:FM2+Clockspeed:3.6 GHzTurbo Speed:4.0 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:65 W"
Socket:FM2+Clockspeed:3.7 GHzTurbo Speed:4.0 GHz4 (in 2 physical modules)Typical TDP:95 W,AMD A10-7850K APU,Socket:FM2+3.7 GHzTurbo Speed:4.0 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:95 W,,5504Single Thread Rating: 1569,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7850K+APU&id=2133,"AMD A10-7850K APU with Radeon(TM) R7 Graphics, AMD A10-7850K Radeon R7, 12 Compute Cores 4C+8G",,
Socket:FM2+Clockspeed:3.5 GHzTurbo Speed:3.9 GHz4 (in 2 physical modules)Typical TDP:65 W,AMD A10-7800 APU,Socket:FM2+3.5 GHzTurbo Speed:3.9 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:65 W,,5064Single Thread Rating: 1536,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7800+APU&id=2262,"AMD A10-7800 Radeon R7, 12 Compute Cores 4C+8G",,
Socket:FM2+Clockspeed:3.4 GHzTurbo Speed:3.8 GHz4 (in 2 physical modules)Typical TDP:95 W,AMD A10-7700K APU,Socket:FM2+3.4 GHzTurbo Speed:3.8 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:95 W,,5164Single Thread Rating: 1494,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7700K+APU&id=2146,"AMD A10-7700K APU with Radeon(TM) R7 Graphics, AMD A10-7700K Radeon R7, 10 Compute Cores 4C+6G",,
Socket:FP3Clockspeed:2.5 GHzTurbo Speed:3.4 GHz4Typical TDP:35 W,AMD A10-7400P,Socket:FP32.5 GHzTurbo Speed:3.4 GHzNo of Cores:4Typical TDP:35 W,,3664Single Thread Rating: 1125,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7400P&id=2451,"AMD A10-7400P Radeon R6, 10 Compute Cores 4C+6G",,
Socket:FP3Clockspeed:1.9 GHzTurbo Speed:3.2 GHz4Typical TDP:19 W,AMD A10-7300 APU,Socket:FP31.9 GHzTurbo Speed:3.2 GHzNo of Cores:4Typical TDP:19 W,,2938Single Thread Rating: 979,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7300+APU&id=2287,"AMD A10-7300 Radeon R6, 10 Compute Cores 4C+6G",,
Socket:FM2Clockspeed:4.1 GHzTurbo Speed:4.4 GHz4 (in 2 physical modules)Typical TDP:100 W,AMD A10-6800K APU,Socket:FM24.1 GHzTurbo Speed:4.4 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:100 W,,4891Single Thread Rating: 1541,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800K+APU&id=1935,AMD A10-6800K APU with Radeon(tm) HD Graphics,,
Socket:FM2Clockspeed:4.1 GHzTurbo Speed:4.4 GHz4 (in 2 physical modules)Typical TDP:100 W,AMD A10-6800B APU,Socket:FM24.1 GHzTurbo Speed:4.4 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:100 W,,4990Single Thread Rating: 1630,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800B+APU&id=2155,AMD A10-6800B APU with Radeon(tm) HD Graphics,,
Socket:FM2Clockspeed:4.0 GHzTurbo Speed:4.3 GHz4 (in 2 physical modules)Typical TDP:100 W,AMD A10-6790K APU,Socket:FM24.0 GHzTurbo Speed:4.3 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:100 W,,4665Single Thread Rating: 1473,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6790K+APU&id=2117,AMD A10-6790K APU with Radeon(tm) HD Graphics,,
Socket:FM2Clockspeed:2.5 GHzTurbo Speed:3.5 GHz4 (in 2 physical modules)Typical TDP:45 W,AMD A10-6700T APU,Socket:FM22.5 GHzTurbo Speed:3.5 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:45 W,,3702Single Thread Rating: 1193,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700T+APU&id=2254,AMD A10-6700T APU with Radeon(tm) HD Graphics,,
