description,price,rank,link,other_name,g3d_mark,name
,,738,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670M+%2B+7670M+Dual&id=2277,AMD Radeon HD 7670M + 7670M Dual Graphics,NA,Radeon HD 7670M + 7670M Dual
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 600 MHz, Memory Clock(s): 900 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 20 W",,817,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670M&id=320,"AMD Radeon HD 7670M, AMD Radeon. HD 7670M, Radeon (TM)  HD 7670M, Radeon (TM) HD 7670M",1.30,Radeon HD 7670M
,,1051,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670A&id=333,AMD Radeon(TM) HD 7670A Graphics,NA,Radeon HD 7670A
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 800 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 66 W",,1084,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670&id=319,"AMD Radeon HD 7670, ASUS HD7670 Series",NA,Radeon HD 7670
,,966,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7700M+N+HD+7700M+D&id=2750,AMD Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M Dual Graphics,NA,Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D
,,704,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7670M+Dual&id=2795,AMD Radeon HD 7660G N HD 7660G + HD 7670M Dual Graphics,NA,Radeon HD 7660G N HD 7660G + HD 7670M Dual
,,722,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7600M+N+HD+7600M+D&id=2726,AMD Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M Dual Graphics,NA,Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D
,,764,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7700M+Dual&id=2988,AMD Radeon HD 7660G + HD 7700M Dual Graphics,NA,Radeon HD 7660G + HD 7700M Dual
,,707,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7670M+Dual&id=2794,AMD Radeon HD 7660G + HD 7670M Dual Graphics,NA,Radeon HD 7660G + HD 7670M Dual
,,818,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7600M+Dual&id=2864,AMD Radeon HD 7660G + HD 7600M Dual Graphics,NA,Radeon HD 7660G + HD 7600M Dual
,,587,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+8670M+Dual&id=2839,AMD Radeon HD 7660G + 8670M Dual Graphics,NA,Radeon HD 7660G + 8670M Dual
,,445,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+8600M+Dual&id=2837,AMD Radeon HD 7660G + 8600M Dual Graphics,NA,Radeon HD 7660G + 8600M Dual
,,931,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7730M+Dual&id=2779,AMD Radeon HD 7660G + 7730M Dual Graphics,NA,Radeon HD 7660G + 7730M Dual
,,757,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7700M+Dual&id=2409,AMD Radeon HD 7660G + 7700M Dual Graphics,NA,Radeon HD 7660G + 7700M Dual
,,734,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7670M+Dual&id=318,AMD Radeon HD 7660G + 7670M Dual Graphics,NA,Radeon HD 7660G + 7670M Dual
,,744,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7610M+Dual&id=2335,AMD Radeon HD 7660G + 7610M Dual Graphics,NA,Radeon HD 7660G + 7610M Dual
,,821,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7600M+Dual&id=2233,AMD Radeon HD 7660G + 7600M Dual Graphics,NA,Radeon HD 7660G + 7600M Dual
,,579,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7470M+Dual&id=317,AMD Radeon HD 7660G + 7470M Dual Graphics,NA,Radeon HD 7660G + 7470M Dual
,,588,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7400M+Dual&id=2367,AMD Radeon HD 7660G + 7400M Dual Graphics,NA,Radeon HD 7660G + 7400M Dual
,,819,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G&id=316,AMD Radeon HD 7660G,NA,Radeon HD 7660G
,,1878,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+HD+7700+Dual&id=3335,AMD Radeon HD 7660D + HD 7700 Dual Graphics,NA,Radeon HD 7660D + HD 7700 Dual
,,1484,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+HD+6670+Dual&id=3091,AMD Radeon HD 7660D + HD 6670 Dual Graphics,NA,Radeon HD 7660D + HD 6670 Dual
,,1061,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+7670+Dual&id=2255,AMD Radeon HD 7660D + 7670 Dual Graphics,NA,Radeon HD 7660D + 7670 Dual
,,465,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+7470+Dual&id=2266,AMD Radeon HD 7660D + 7470 Dual Graphics,NA,Radeon HD 7660D + 7470 Dual
,,1238,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+6670+Dual&id=2249,AMD Radeon HD 7660D + 6670 Dual Graphics,NA,Radeon HD 7660D + 6670 Dual
,,1100,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+6570+Dual&id=2448,AMD Radeon HD 7660D + 6570 Dual Graphics,NA,Radeon HD 7660D + 6570 Dual
"Bus Interface: UNB/MC, Core Clock(s): 760,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 100 W",,791,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D&id=315,AMD Radeon HD 7660D,NA,Radeon HD 7660D
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 450,550 MHz, Memory Clock(s): 800,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 20 W",,725,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7650M&id=314,AMD Radeon HD 7650M,NA,Radeon HD 7650M
,,797,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7650A&id=332,"AMD Radeon HD 7650A, AMD Radeon HD 7650A Graphics, AMD Radeon(TM) HD 7650A Graphics",3.04,Radeon HD 7650A
,,679,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+N+HD+7640G+%2B+HD+7670M+Dual&id=2735,AMD Radeon HD 7640G N HD 7640G + HD 7670M Dual Graphics,NA,Radeon HD 7640G N HD 7640G + HD 7670M Dual
,,824,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+N+HD+7640G+%2B+HD+7600M+N+HD+7600M+D&id=2700,AMD Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M Dual Graphics,NA,Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D
,,508,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+R5+M200+Dual&id=3246,AMD Radeon HD 7640G + R5 M200 Dual Graphics,NA,Radeon HD 7640G + R5 M200 Dual
,,1216,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+8750M+Dual&id=3288,AMD Radeon HD 7640G + HD 8750M Dual Graphics,NA,Radeon HD 7640G + HD 8750M Dual
,,506,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+8600%2F8700M+Dual&id=3131,AMD Radeon HD 7640G + HD 8600/8700M Dual Graphics,NA,Radeon HD 7640G + HD 8600/8700M Dual
,,665,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+8500M+N+HD+8500M+Dual&id=2718,AMD Radeon HD 7640G + HD 8500M N HD 8500M Dual Graphics,NA,Radeon HD 7640G + HD 8500M N HD 8500M Dual
,,607,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+8500M+Dual&id=2907,AMD Radeon HD 7640G + HD 8500M Dual Graphics,NA,Radeon HD 7640G + HD 8500M Dual
,,665,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+7700M+Dual&id=3372,AMD Radeon HD 7640G + HD 7700M Dual Graphics,NA,Radeon HD 7640G + HD 7700M Dual
,,648,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+7670M+Dual&id=2925,AMD Radeon HD 7640G + HD 7670M Dual Graphics,NA,Radeon HD 7640G + HD 7670M Dual
,,698,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+7600M+Dual&id=2990,AMD Radeon HD 7640G + HD 7600M Dual Graphics,NA,Radeon HD 7640G + HD 7600M Dual
,,617,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+HD+7400M+Dual&id=2978,AMD Radeon HD 7640G + HD 7400M Dual Graphics,NA,Radeon HD 7640G + HD 7400M Dual
,,654,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+8750M+Dual&id=2733,AMD Radeon HD 7640G + 8750M Dual Graphics,NA,Radeon HD 7640G + 8750M Dual
,,558,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+8670M+Dual&id=2797,AMD Radeon HD 7640G + 8670M Dual Graphics,NA,Radeon HD 7640G + 8670M Dual
,,688,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+8600%2F8700M+Dual&id=2669,AMD Radeon HD 7640G + 8600/8700M Dual Graphics,NA,Radeon HD 7640G + 8600/8700M Dual
,,573,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+8570M+Dual&id=2763,AMD Radeon HD 7640G + 8570M Dual Graphics,NA,Radeon HD 7640G + 8570M Dual
,,570,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+8500M+Dual&id=2809,AMD Radeon HD 7640G + 8500M Dual Graphics,NA,Radeon HD 7640G + 8500M Dual
,,690,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+7700M+Dual&id=2730,AMD Radeon HD 7640G + 7700M Dual Graphics,NA,Radeon HD 7640G + 7700M Dual
,,646,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+7670M+Dual&id=313,AMD Radeon HD 7640G + 7670M Dual Graphics,NA,Radeon HD 7640G + 7670M Dual
,,563,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+7610M+Dual&id=2677,AMD Radeon HD 7640G + 7610M Dual Graphics,NA,Radeon HD 7640G + 7610M Dual
,,705,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+7600M+Dual&id=312,AMD Radeon HD 7640G + 7600M Dual Graphics,NA,Radeon HD 7640G + 7600M Dual
,,627,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+7500%2F7600+Dual&id=2566,AMD Radeon HD 7640G + 7500/7600 Dual Graphics,NA,Radeon HD 7640G + 7500/7600 Dual
,,598,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+7470M+Dual&id=311,AMD Radeon HD 7640G + 7470M Dual Graphics,NA,Radeon HD 7640G + 7470M Dual
,,637,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+7400M+Dual&id=2442,AMD Radeon HD 7640G + 7400M Dual Graphics,NA,Radeon HD 7640G + 7400M Dual
,,526,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G+%2B+6400M+Dual&id=2301,AMD Radeon HD 7640G + 6400M Dual Graphics,NA,Radeon HD 7640G + 6400M Dual
,,606,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7640G&id=310,AMD Radeon HD 7640G,NA,Radeon HD 7640G
,,505,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7620G+%2B+HD+8670M+Dual&id=2824,AMD Radeon HD 7620G + HD 8670M Dual Graphics,NA,Radeon HD 7620G + HD 8670M Dual
,,451,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7620G+%2B+HD+8600M+Dual&id=3066,AMD Radeon HD 7620G + HD 8600M Dual Graphics,NA,Radeon HD 7620G + HD 8600M Dual
,,577,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7620G+%2B+8670M+Dual&id=2765,AMD Radeon HD 7620G + 8670M Dual Graphics,NA,Radeon HD 7620G + 8670M Dual
,,514,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7620G+%2B+8600M+Dual&id=2728,AMD Radeon HD 7620G + 8600M Dual Graphics,NA,Radeon HD 7620G + 8600M Dual
,,474,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7620G&id=309,AMD Radeon HD 7620G,NA,Radeon HD 7620G
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 450 MHz, Memory Clock(s): 800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 20 W",,631,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7610M&id=308,AMD Radeon HD 7610M,NA,Radeon HD 7610M
,,823,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600M+%2B+7600M+Dual&id=2234,AMD Radeon HD 7600M + 7600M Dual Graphics,NA,Radeon HD 7600M + 7600M Dual
,,411,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G+%2B+HD+Dual&id=2780,AMD Radeon HD 7600G + (TM) HD Dual Graphics,NA,Radeon HD 7600G + HD Dual
,,543,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G+%2B+HD+8670M+Dual&id=3180,AMD Radeon HD 7600G + HD 8670M Dual Graphics,NA,Radeon HD 7600G + HD 8670M Dual
,,551,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G+%2B+HD+7500M%2F7600M+Dual&id=3230,AMD Radeon HD 7600G + HD 7500M/7600M Dual Graphics,NA,Radeon HD 7600G + HD 7500M/7600M Dual
,,469,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G+%2B+8500M%2F8700M+Dual&id=2746,AMD Radeon HD 7600G + 8500M/8700M Dual Graphics,NA,Radeon HD 7600G + 8500M/8700M Dual
,,423,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G+%2B+7550M+Dual&id=2855,AMD Radeon HD 7600G + 7550M Dual Graphics,NA,Radeon HD 7600G + 7550M Dual
,,405,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G+%2B+7500M%2F7600M+Dual&id=2508,AMD Radeon HD 7600G + 7500M/7600M Dual Graphics,NA,Radeon HD 7600G + 7500M/7600M Dual
,,477,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G&id=2290,AMD Radeon HD 7600G,NA,Radeon HD 7600G
,,389,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7600G+%2B+7450M+Dual&id=2501,AMD Radeon HD 7600G + 7450M Dual Graphics,NA,Radeon HD 7600G + 7450M Dual
,,750,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7570M%2FHD+7670M&id=3046,AMD Radeon HD 7570M/HD 7670M Graphics,NA,Radeon HD 7570M/HD 7670M
,,350,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7580D&id=2533,AMD Radeon HD 7580D,NA,Radeon HD 7580D
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 450,650 MHz, Memory Clock(s): 900,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 13 W",,612,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7570M&id=307,"AMD Radeon HD 7570M, Radeon (TM)  HD 7570M",NA,Radeon HD 7570M
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 650 MHz, Memory Clock(s): 900,1000 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 44 W",,981,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7570&id=90,"AMD Radeon HD 7570, AMD Radeon HD 7570 Graphics",NA,Radeon HD 7570
,,1346,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7560D+%2B+HD+7700+Dual&id=3158,AMD Radeon HD 7560D + HD 7700 Dual Graphics,NA,Radeon HD 7560D + HD 7700 Dual
,,534,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7560D+%2B+HD+7000+Dual&id=2891,AMD Radeon HD 7560D + HD 7000 Dual Graphics,NA,Radeon HD 7560D + HD 7000 Dual
,,1412,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7560D+%2B+7670+Dual&id=306,AMD Radeon HD 7560D + 7670 Dual Graphics,NA,Radeon HD 7560D + 7670 Dual
,,982,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7560D+%2B+7560D+Dual&id=2880,AMD Radeon HD 7560D + 7560D Dual Graphics,NA,Radeon HD 7560D + 7560D Dual
,,1130,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7560D+%2B+6670+Dual&id=2303,AMD Radeon HD 7560D + 6670 Dual Graphics,NA,Radeon HD 7560D + 6670 Dual
,,833,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7560D+%2B+6570+Dual&id=2221,AMD Radeon HD 7560D + 6570 Dual Graphics,NA,Radeon HD 7560D + 6570 Dual
"Bus Interface: UNB/MC, Core Clock(s): 760 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 100 W",,665,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7560D&id=305,AMD Radeon HD 7560D,NA,Radeon HD 7560D
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 450,550 MHz, Memory Clock(s): 900,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 13 W",,730,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7550M%2F7650M&id=304,AMD Radeon HD 7550M/7650M Graphics,NA,Radeon HD 7550M/7650M
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 450,550 MHz, Memory Clock(s): 900,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 13 W",,489,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7550M&id=303,AMD Radeon HD 7550M,NA,Radeon HD 7550M
,,719,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7540D+%2B+6570+Dual&id=2581,AMD Radeon HD 7540D + 6570 Dual Graphics,NA,Radeon HD 7540D + 6570 Dual
"Bus Interface: UNB/MC, Core Clock(s): 760 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 65 W",,516,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7540D&id=2166,AMD Radeon HD 7540D,NA,Radeon HD 7540D
,,651,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+HD+8750M+Dual&id=3253,AMD Radeon HD 7520G + HD 8750M Dual Graphics,NA,Radeon HD 7520G + HD 8750M Dual
,,463,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+HD+8600%2F8700M+Dual&id=2970,AMD Radeon HD 7520G + HD 8600/8700M Dual Graphics,NA,Radeon HD 7520G + HD 8600/8700M Dual
,,547,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+HD+7670M+Dual&id=3413,AMD Radeon HD 7520G + HD 7670M Dual Graphics,NA,Radeon HD 7520G + HD 7670M Dual
,,621,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+HD+7600M+Dual&id=3021,AMD Radeon HD 7520G + HD 7600M Dual Graphics,NA,Radeon HD 7520G + HD 7600M Dual
,,576,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+HD+7400M+Dual&id=3361,AMD Radeon HD 7520G + HD 7400M Dual Graphics,NA,Radeon HD 7520G + HD 7400M Dual
,,311,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+8600%2F8700M+Dual&id=3014,AMD Radeon HD 7520G + 8600/8700M Dual Graphics,NA,Radeon HD 7520G + 8600/8700M Dual
,,1060,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+7700M+Dual&id=2499,AMD Radeon HD 7520G + 7700M Dual Graphics,NA,Radeon HD 7520G + 7700M Dual
,,528,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+7670M+Dual&id=302,AMD Radeon HD 7520G + 7670M Dual Graphics,NA,Radeon HD 7520G + 7670M Dual
,,453,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+7650M+Dual&id=2689,AMD Radeon HD 7520G + 7650M Dual Graphics,NA,Radeon HD 7520G + 7650M Dual
,,464,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+7610M+Dual&id=2624,AMD Radeon HD 7520G + 7610M Dual Graphics,NA,Radeon HD 7520G + 7610M Dual
,,591,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+7600M+Dual&id=2236,AMD Radeon HD 7520G + 7600M Dual Graphics,NA,Radeon HD 7520G + 7600M Dual
,,486,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G+%2B+7400M+Dual&id=3124,AMD Radeon HD 7520G + 7400M Dual Graphics,NA,Radeon HD 7520G + 7400M Dual
,,455,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7520G&id=301,"AMD Radeon HD 7520G, AMD Radeon HD 7520G (Engineering Sample - WDDM v1.20)",NA,Radeon HD 7520G
,,497,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7500G+%2B+7550M+Dual&id=2491,AMD Radeon HD 7500G + 7550M Dual Graphics,NA,Radeon HD 7500G + 7550M Dual
,,647,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7500G+%2B+7500M%2F7600M+Dual&id=2660,AMD Radeon HD 7500G + 7500M/7600M Dual Graphics,NA,Radeon HD 7500G + 7500M/7600M Dual
,,406,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7500G&id=300,AMD Radeon HD 7500G,NA,Radeon HD 7500G
"Bus Interface: UNB/MC, Core Clock(s): 723 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 65 W",,420,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7480D&id=2193,AMD Radeon HD 7480D,NA,Radeon HD 7480D
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 750,800 MHz, Memory Clock(s): 900,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 7 W",,413,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7470M&id=299,"AMD Radeon HD 7470M, Radeon (TM) HD 7470M",NA,Radeon HD 7470M
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 627,750 MHz, Memory Clock(s): 800,900 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 27 W",,374,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7470&id=298,AMD Radeon HD 7470,NA,Radeon HD 7470
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 700,700 MHz, Memory Clock(s): 900,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 7 W",,332,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7450M&id=3039,"AMD Radeon HD 7450M, Radeon (TM) HD 7450M",NA,Radeon HD 7450M
,,288,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7450A&id=331,"AMD Radeon HD 7450A Graphics, AMD Radeon(TM) HD 7450A Graphics",NA,Radeon HD 7450A
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 627,750 MHz, Memory Clock(s): 533,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 18 W",,320,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7450&id=297,"AMD Radeon HD 7450, AMD Radeon HD 7450 Graphics, AMD Radeon(TM) HD 7450",3.77,Radeon HD 7450
,,449,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7420G&id=2305,AMD Radeon HD 7420G,NA,Radeon HD 7420G
,,329,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7400G&id=2333,AMD Radeon HD 7400G,NA,Radeon HD 7400G
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 512 MB, Core Clock(s): 400,650 MHz, Memory Clock(s): 400,800,900 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 19.1 W",,283,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7350&id=296,"AMD Radeon HD 7350, AMD Radeon HD 7350 Graphics, AMD Radeon(TM) HD 7350A Graphics, AMD Radeon. HD 7350, ASUS HD 7350, ATI Radeon HD 7350",NA,Radeon HD 7350
,,219,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7340M&id=2170,AMD Radeon HD 7340M,NA,Radeon HD 7340M
,,194,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7340G&id=2299,AMD Radeon HD 7340G,NA,Radeon HD 7340G
,,210,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7340&id=295,"AMD Radeon HD 7340, AMD Radeon HD 7340 Graphics",0.38,Radeon HD 7340
,,165,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7310M&id=2217,AMD Radeon HD 7310M,NA,Radeon HD 7310M
,,180,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7310G&id=2852,AMD Radeon HD 7310G,NA,Radeon HD 7310G
,,171,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7310&id=294,"AMD Radeon HD 7310, AMD Radeon HD 7310 Graphics",NA,Radeon HD 7310
,,138,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7290&id=2315,AMD Radeon HD 7290 Graphics,NA,Radeon HD 7290
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 2048 MB, Core Clock(s): 830 MHz, Memory Clock(s): 1250 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 375 W",,2514,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+6990&id=292,AMD Radeon HD 6990,15.71,Radeon HD 6990
