description,price,rank,link,other_name,g3d_mark,name
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+Family+WDDM&id=1951,VIA Chrome9 HC IGP Family WDDM,NA,VIA Chrome9 HC IGP Family WDDM
,,304,http://www.videocardbenchmark.net/gpu.php?gpu=Wine+Display+Adapter&id=3402,Wine Display Adapter,NA,Wine Display Adapter
,,858,http://www.videocardbenchmark.net/gpu.php?gpu=VirtualBox+Adapter+for+Windows+8%2B&id=3486,VirtualBox Graphics Adapter for Windows 8+,NA,VirtualBox Adapter for Windows 8+
,,5,http://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+UniChromeII&id=1973,VIA/S3G UniChromeII Graphics,NA,VIA/S3G UniChromeII
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+UniChrome+Pro+IGP&id=1971,VIA/S3G UniChrome Pro IGP,NA,VIA/S3G UniChrome Pro IGP
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+UniChrome+IGP&id=1970,VIA/S3G UniChrome IGP,NA,VIA/S3G UniChrome IGP
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+KM400%2FKN400&id=1968,VIA/S3G KM400/KN400,NA,VIA/S3G KM400/KN400
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+DeltaChrome+IGP&id=1965,VIA/S3G DeltaChrome IGP,NA,VIA/S3G DeltaChrome IGP
,,106,http://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+Chrome+645%2F640+GPU&id=1962,VIA/S3G Chrome 645/640 GPU,NA,VIA/S3G Chrome 645/640 GPU
,,12,http://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HD+IGP&id=1960,VIA Chrome9 HD IGP,NA,VIA Chrome9 HD IGP
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+WDDM+1.1&id=1954,VIA Chrome9 HC IGP WDDM 1.1,NA,VIA Chrome9 HC IGP WDDM 1.1
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+WDDM&id=1953,VIA Chrome9 HC IGP WDDM,NA,VIA Chrome9 HC IGP WDDM
,,2,http://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+Prerelease+WDDM+1.1&id=1952,VIA Chrome9 HC IGP Prerelease WDDM 1.1,NA,VIA Chrome9 HC IGP Prerelease WDDM 1.1
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+Family&id=1950,VIA Chrome9 HC IGP Family,NA,VIA Chrome9 HC IGP Family
,,4,http://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP&id=1949,VIA Chrome9 HC IGP,NA,VIA Chrome9 HC IGP
,,3,http://www.videocardbenchmark.net/gpu.php?gpu=Vanta%2FVanta+LT&id=1674,NVIDIA Vanta/Vanta LT,NA,Vanta/Vanta LT
,,3191,http://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2075&id=1671,NVIDIA Tesla C2075,1.41,Tesla C2075
