core,name,clock,price,rank,link,other_name,g3d_mark,description
Description:1Max TDP:-1 W,686 Gen,,,288,http://www.cpubenchmark.net/cpu.php?cpu=686+Gen&id=1495,686 Gen,,No of Cores:1Max TDP:-1 W
Description:Socket:FM2+Clockspeed:3.5 GHzTurbo Speed:3.9 GHz2 (2 logical cores per physical)Max TDP:65 W,AMD A10-7800 APU,Description:Socket:FM2+3.5 GHzTurbo Speed:3.9 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:65 W,,5142Single Thread Rating: 1536,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7800+APU&id=2262,"AMD A10-7800 Radeon R7, 12 Compute Cores 4C+8G",,Socket:FM2+Clockspeed:3.5 GHzTurbo Speed:3.9 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:65 W
Description:Socket:FM2+Clockspeed:3.4 GHzTurbo Speed:3.8 GHz2 (2 logical cores per physical)Max TDP:95 W,AMD A10-7700K APU,Description:Socket:FM2+3.4 GHzTurbo Speed:3.8 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:95 W,,5203Single Thread Rating: 1484,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7700K+APU&id=2146,"AMD A10-7700K APU with Radeon(TM) R7 Graphics, AMD A10-7700K Radeon R7, 10 Compute Cores 4C+6G",,Socket:FM2+Clockspeed:3.4 GHzTurbo Speed:3.8 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:95 W
Description:Socket:FP3Clockspeed:2.5 GHzTurbo Speed:3.4 GHz4Max TDP:35 W,AMD A10-7400P,Description:Socket:FP32.5 GHzTurbo Speed:3.4 GHzNo of Cores:4Max TDP:35 W,,3732Single Thread Rating: 1123,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7400P&id=2451,"AMD A10-7400P Radeon R6, 10 Compute Cores 4C+6G",,Socket:FP3Clockspeed:2.5 GHzTurbo Speed:3.4 GHzNo of Cores:4Max TDP:35 W
Description:Socket:FP3Clockspeed:1.9 GHzTurbo Speed:3.2 GHz4Max TDP:19 W,AMD A10-7300 APU,Description:Socket:FP31.9 GHzTurbo Speed:3.2 GHzNo of Cores:4Max TDP:19 W,,2983Single Thread Rating: 999,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7300+APU&id=2287,"AMD A10-7300 Radeon R6, 10 Compute Cores 4C+6G",,Socket:FP3Clockspeed:1.9 GHzTurbo Speed:3.2 GHzNo of Cores:4Max TDP:19 W
Description:Socket:FM2Clockspeed:4.1 GHzTurbo Speed:4.4 GHz2 (2 logical cores per physical)Max TDP:100 W,AMD A10-6800K APU,Description:Socket:FM24.1 GHzTurbo Speed:4.4 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W,,4899Single Thread Rating: 1544,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800K+APU&id=1935,AMD A10-6800K APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:4.1 GHzTurbo Speed:4.4 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W
Description:Socket:FM2Clockspeed:4.1 GHzTurbo Speed:4.4 GHz2 (2 logical cores per physical)Max TDP:100 W,AMD A10-6800B APU,Description:Socket:FM24.1 GHzTurbo Speed:4.4 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W,,4974Single Thread Rating: 1628,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800B+APU&id=2155,AMD A10-6800B APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:4.1 GHzTurbo Speed:4.4 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W
Description:Socket:FM2Clockspeed:4.0 GHzTurbo Speed:4.3 GHz2 (2 logical cores per physical)Max TDP:100 W,AMD A10-6790K APU,Description:Socket:FM24.0 GHzTurbo Speed:4.3 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W,,4646Single Thread Rating: 1469,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6790K+APU&id=2117,AMD A10-6790K APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:4.0 GHzTurbo Speed:4.3 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W
Description:Socket:FM2Clockspeed:2.5 GHzTurbo Speed:3.5 GHz2 (2 logical cores per physical)Max TDP:45 W,AMD A10-6700T APU,Description:Socket:FM22.5 GHzTurbo Speed:3.5 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:45 W,,3693Single Thread Rating: 1192,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700T+APU&id=2254,AMD A10-6700T APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:2.5 GHzTurbo Speed:3.5 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:45 W
Description:Socket:FM2Clockspeed:3.7 GHzTurbo Speed:4.3 GHz4Max TDP:65 W,AMD A10-6700 APU,Description:Socket:FM23.7 GHzTurbo Speed:4.3 GHzNo of Cores:4Max TDP:65 W,,4592Single Thread Rating: 1521,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700+APU&id=1936,AMD A10-6700 APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:3.7 GHzTurbo Speed:4.3 GHzNo of Cores:4Max TDP:65 W
