core,name,clock,price,rank,link,other_name,g3d_mark,description
Description:Socket:FM2Clockspeed:3.8 GHzTurbo Speed:4.2 GHz2 (2 logical cores per physical)Max TDP:100 W,AMD A10-5800K APU,Description:Socket:FM23.8 GHzTurbo Speed:4.2 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W,,4633Single Thread Rating: 1462,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800K+APU&id=1446,AMD A10-5800K APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:3.8 GHzTurbo Speed:4.2 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W
Description:Socket:FM2Clockspeed:3.8 GHzTurbo Speed:4.2 GHz2 (2 logical cores per physical)Max TDP:100 W,AMD A10-5800B APU,Description:Socket:FM23.8 GHzTurbo Speed:4.2 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W,,4612Single Thread Rating: 1539,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800B+APU&id=1990,AMD A10-5800B APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:3.8 GHzTurbo Speed:4.2 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:100 W
Description:Socket:FP2Clockspeed:2.5 GHzTurbo Speed:3.5 GHz4Max TDP:35 W,AMD A10-5757M APU,Description:Socket:FP22.5 GHzTurbo Speed:3.5 GHzNo of Cores:4Max TDP:35 W,,3082Single Thread Rating: 1071,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5757M+APU&id=1992,AMD A10-5757M APU with Radeon(tm) HD Graphics,,Socket:FP2Clockspeed:2.5 GHzTurbo Speed:3.5 GHzNo of Cores:4Max TDP:35 W
Description:Socket:FS1r2Clockspeed:2.5 GHzTurbo Speed:3.5 GHz4Max TDP:35 W,AMD A10-5750M APU,Description:Socket:FS1r22.5 GHzTurbo Speed:3.5 GHzNo of Cores:4Max TDP:35 W,,3360Single Thread Rating: 1118,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5750M+APU&id=1920,AMD A10-5750M APU with Radeon(tm) HD Graphics,,Socket:FS1r2Clockspeed:2.5 GHzTurbo Speed:3.5 GHzNo of Cores:4Max TDP:35 W
Description:Socket:FP2Clockspeed:2.1 GHzTurbo Speed:2.9 GHz4Max TDP:25 W,AMD A10-5745M APU,Description:Socket:FP22.1 GHzTurbo Speed:2.9 GHzNo of Cores:4Max TDP:25 W,,2770Single Thread Rating: 924,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5745M+APU&id=1962,AMD A10-5745M APU with Radeon(tm) HD Graphics,,Socket:FP2Clockspeed:2.1 GHzTurbo Speed:2.9 GHzNo of Cores:4Max TDP:25 W
Description:Socket:FM2Clockspeed:3.4 GHzTurbo Speed:4.0 GHz2 (2 logical cores per physical)Max TDP:65 W,AMD A10-5700 APU,Description:Socket:FM23.4 GHzTurbo Speed:4.0 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:65 W,,4196Single Thread Rating: 1359,http://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5700+APU&id=12,AMD A10-5700 APU with Radeon(tm) HD Graphics,,Socket:FM2Clockspeed:3.4 GHzTurbo Speed:4.0 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:65 W
Description:1,AMD Athlon XP 2300+,,,464,http://www.cpubenchmark.net/cpu.php?cpu=AMD+Athlon+XP+2300%2B&id=1538,AMD Athlon(tm) XP 2300+,,No of Cores:1
Description:Socket:AM3Clockspeed:2.8 GHz4Max TDP:95 W,AMD Phenom II X4 B93,Description:Socket:AM32.8 GHzNo of Cores:4Max TDP:95 W,,3377Single Thread Rating: 975,http://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X4+B93&id=384,AMD Phenom(tm) II X4 B93 Processor,,Socket:AM3Clockspeed:2.8 GHzNo of Cores:4Max TDP:95 W
Description:Socket:AM2Clockspeed:2.0 GHz1Max TDP:62 W,AMD Sempron 3500+,Description:Socket:AM22.0 GHzNo of Cores:1Max TDP:62 W,,402Single Thread Rating: 5021,http://www.cpubenchmark.net/cpu.php?cpu=AMD+Sempron+3500%2B&id=422,AMD Sempron(tm) Processor 3500+,,Socket:AM2Clockspeed:2.0 GHzNo of Cores:1Max TDP:62 W
Description:Socket:BGA956Clockspeed:1.2 GHz1Max TDP:10 W,Intel Celeron M 723 @ 1.20GHz,Description:Socket:BGA9561.2 GHzNo of Cores:1Max TDP:10 W,,418Single Thread Rating: 4921,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+M+723+%40+1.20GHz&id=1643,Intel(R) Celeron(R) M CPU 723 @ 1.20GHz,,Socket:BGA956Clockspeed:1.2 GHzNo of Cores:1Max TDP:10 W
Description:Socket:BGA1288Clockspeed:2.3 GHz2 (2 logical cores per physical)Max TDP:35 W,Intel Core i3-350M @ 2.27GHz,Description:Socket:BGA12882.3 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:35 W,,1906Single Thread Rating: 817,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-350M+%40+2.27GHz&id=743,Intel(R) Core(TM) i3 CPU M 350 @ 2.27GHz,,Socket:BGA1288Clockspeed:2.3 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:35 W
Description:Socket:rPGA988BClockspeed:2.2 GHzTurbo Speed:3.2 GHz4 (2 logical cores per physical)Max TDP:35 W,Intel Core i7-3632QM @ 2.20GHz,Description:Socket:rPGA988B2.2 GHzTurbo Speed:3.2 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:35 W,,6930Single Thread Rating: 1565,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3632QM+%40+2.20GHz&id=1480,Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz,,Socket:rPGA988BClockspeed:2.2 GHzTurbo Speed:3.2 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:35 W
Description:Socket:FCBGA1364Clockspeed:2.8 GHzTurbo Speed:4.0 GHz4 (2 logical cores per physical)Max TDP:47 W,Intel Core i7-4980HQ @ 2.80GHz,Description:Socket:FCBGA13642.8 GHzTurbo Speed:4.0 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:47 W,,10046Single Thread Rating: 2238,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-4980HQ+%40+2.80GHz&id=2327,Intel(R) Core(TM) i7-4980HQ CPU @ 2.80GHz,,Socket:FCBGA1364Clockspeed:2.8 GHzTurbo Speed:4.0 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:47 W
Description:Socket:FCBGA1168Clockspeed:1.9 GHz2Max TDP:15 W,Intel Pentium 3805U @ 1.90GHz,Description:Socket:FCBGA11681.9 GHzNo of Cores:2Max TDP:15 W,,2006Single Thread Rating: 1071,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Pentium+3805U+%40+1.90GHz&id=2483,Intel(R) Pentium(R) 3805U @ 1.90GHz,,Socket:FCBGA1168Clockspeed:1.9 GHzNo of Cores:2Max TDP:15 W
Description:Socket:LGA1155Clockspeed:3.3 GHz2Max TDP:55 W,Intel Pentium G2140 @ 3.30GHz,Description:Socket:LGA11553.3 GHzNo of Cores:2Max TDP:55 W,,3448Single Thread Rating: 1812,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Pentium+G2140+%40+3.30GHz&id=2136,Intel(R) Pentium(R) CPU G2140 @ 3.30GHz,,Socket:LGA1155Clockspeed:3.3 GHzNo of Cores:2Max TDP:55 W
Description:Socket:LGA2011-v3Clockspeed:2.4 GHzTurbo Speed:3.2 GHz8 (2 logical cores per physical)Max TDP:85 W,Intel Xeon E5-2630 v3 @ 2.40GHz,Description:Socket:LGA2011-v32.4 GHzTurbo Speed:3.2 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:85 W,,12802Single Thread Rating: 1758,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630+v3+%40+2.40GHz&id=2386,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,Socket:LGA2011-v3Clockspeed:2.4 GHzTurbo Speed:3.2 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:85 W
Description:Socket:LGA1156Clockspeed:1.9 GHzTurbo Speed:3.2 GHz4 (2 logical cores per physical)Max TDP:45 W,Intel Xeon L3426 @ 1.87GHz,Description:Socket:LGA11561.9 GHzTurbo Speed:3.2 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:45 W,,3922Single Thread Rating: 1159,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+L3426+%40+1.87GHz&id=1255,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,,Socket:LGA1156Clockspeed:1.9 GHzTurbo Speed:3.2 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:45 W
Description:Socket:F (1207)Clockspeed:2.6 GHz6Max TDP:75 W,[Dual CPU] AMD Opteron 2435,Description:Socket:F (1207)2.6 GHzNo of Cores:6Max TDP:75 W,,7315,http://www.cpubenchmark.net/cpu.php?cpu=AMD+Opteron+2435&id=1875&cpuCount=2,Six-Core AMD Opteron(tm) Processor 2435,,Socket:F (1207)Clockspeed:2.6 GHzNo of Cores:6Max TDP:75 W
Description:Socket:FCLGA1356Clockspeed:2.2 GHzTurbo Speed:2.7 GHz6 (2 logical cores per physical)Max TDP:80 W,[Dual CPU] Intel Xeon E5-2420 v2 @ 2.20GHz,Description:Socket:FCLGA13562.2 GHzTurbo Speed:2.7 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:80 W,,11725,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2420+v2+%40+2.20GHz&id=2217&cpuCount=2,Intel(R) Xeon(R) CPU E5-2420 v2 @ 2.20GHz,,Socket:FCLGA1356Clockspeed:2.2 GHzTurbo Speed:2.7 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:80 W
Description:Socket:LGA771Clockspeed:3.0 GHz4Max TDP:120 W,[Dual CPU] Intel Xeon X5450 @ 3.00GHz,Description:Socket:LGA7713.0 GHzNo of Cores:4Max TDP:120 W,,7644,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5450+%40+3.00GHz&id=1296&cpuCount=2,Intel(R) Xeon(R) CPU X5450 @ 3.00GHz,,Socket:LGA771Clockspeed:3.0 GHzNo of Cores:4Max TDP:120 W
Description:Socket:F (1207)Clockspeed:1.8 GHz6Max TDP:60 W,[Dual CPU] Six-Core AMD Opteron 2419 EE,Description:Socket:F (1207)1.8 GHzNo of Cores:6Max TDP:60 W,,5654,http://www.cpubenchmark.net/cpu.php?cpu=Six-Core+AMD+Opteron+2419+EE&id=2322&cpuCount=2,Six-Core AMD Opteron(tm) Processor 2419 EE,,Socket:F (1207)Clockspeed:1.8 GHzNo of Cores:6Max TDP:60 W
Description:Socket:F (1207)Clockspeed:2.4 GHz4Max TDP:115 W,[Dual CPU] Quad-Core AMD Opteron 8378,Description:Socket:F (1207)2.4 GHzNo of Cores:4Max TDP:115 W,,5382,http://www.cpubenchmark.net/cpu.php?cpu=Quad-Core+AMD+Opteron+8378&id=2313&cpuCount=2,Quad-Core AMD Opteron(tm) Processor 8378,,Socket:F (1207)Clockspeed:2.4 GHzNo of Cores:4Max TDP:115 W
Description:Socket:F (1207)Clockspeed:2.3 GHz4Max TDP:75 W,[Dual CPU] Quad-Core AMD Opteron 8356,Description:Socket:F (1207)2.3 GHzNo of Cores:4Max TDP:75 W,,4374,http://www.cpubenchmark.net/cpu.php?cpu=Quad-Core+AMD+Opteron+8356&id=2223&cpuCount=2,Quad-Core AMD Opteron(tm) Processor 8356,,Socket:F (1207)Clockspeed:2.3 GHzNo of Cores:4Max TDP:75 W
Description:Socket:F (1207)Clockspeed:2.3 GHz4Max TDP:75 W,[Quad CPU] Quad-Core AMD Opteron 8356,Description:Socket:F (1207)2.3 GHzNo of Cores:4Max TDP:75 W,,7170,http://www.cpubenchmark.net/cpu.php?cpu=Quad-Core+AMD+Opteron+8356&id=2223&cpuCount=4,Quad-Core AMD Opteron(tm) Processor 8356,,Socket:F (1207)Clockspeed:2.3 GHzNo of Cores:4Max TDP:75 W
Description:Socket:F (1207)Clockspeed:2.0 GHz4Max TDP:75 W,[Dual CPU] Quad-Core AMD Opteron 8350,Description:Socket:F (1207)2.0 GHzNo of Cores:4Max TDP:75 W,,4290,http://www.cpubenchmark.net/cpu.php?cpu=Quad-Core+AMD+Opteron+8350&id=2132&cpuCount=2,Quad-Core AMD Opteron(tm) Processor 8350,,Socket:F (1207)Clockspeed:2.0 GHzNo of Cores:4Max TDP:75 W
Description:Socket:F (1207)Clockspeed:2.4 GHz4Max TDP:137 W,[Dual CPU] Quad-Core AMD Opteron 2358 SE,Description:Socket:F (1207)2.4 GHzNo of Cores:4Max TDP:137 W,,5042,http://www.cpubenchmark.net/cpu.php?cpu=Quad-Core+AMD+Opteron+2358+SE&id=2385&cpuCount=2,Quad-Core AMD Opteron(tm) Processor 2358 SE,,Socket:F (1207)Clockspeed:2.4 GHzNo of Cores:4Max TDP:137 W
Description:Socket:F (1207)Clockspeed:2.1 GHz4Max TDP:75 W,[Dual CPU] Quad-Core AMD Opteron 2352,Description:Socket:F (1207)2.1 GHzNo of Cores:4Max TDP:75 W,,4378,http://www.cpubenchmark.net/cpu.php?cpu=Quad-Core+AMD+Opteron+2352&id=2201&cpuCount=2,Quad-Core AMD Opteron(tm) Processor 2352,,Socket:F (1207)Clockspeed:2.1 GHzNo of Cores:4Max TDP:75 W
Description:Socket:LGA1567Clockspeed:2.3 GHzTurbo Speed:2.7 GHz8 (2 logical cores per physical)Max TDP:130 W,[Dual CPU] Intel Xeon X7560 @ 2.27GHz,Description:Socket:LGA15672.3 GHzTurbo Speed:2.7 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W,,11631,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X7560+%40+2.27GHz&id=1710&cpuCount=2,Intel(R) Xeon(R) CPU X7560 @ 2.27GHz,,Socket:LGA1567Clockspeed:2.3 GHzTurbo Speed:2.7 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1567Clockspeed:2.3 GHzTurbo Speed:2.7 GHz8 (2 logical cores per physical)Max TDP:130 W,[Quad CPU] Intel Xeon X7560 @ 2.27GHz,Description:Socket:LGA15672.3 GHzTurbo Speed:2.7 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W,,15414,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X7560+%40+2.27GHz&id=1710&cpuCount=4,Intel(R) Xeon(R) CPU X7560 @ 2.27GHz,,Socket:LGA1567Clockspeed:2.3 GHzTurbo Speed:2.7 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1567Clockspeed:2.0 GHzTurbo Speed:2.4 GHz8 (2 logical cores per physical)Max TDP:130 W,[Quad CPU] Intel Xeon X7550 @ 2.00GHz,Description:Socket:LGA15672.0 GHzTurbo Speed:2.4 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W,,11498,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X7550+%40+2.00GHz&id=2141&cpuCount=4,Intel(R) Xeon(R) CPU X7550 @ 2.00GHz,,Socket:LGA1567Clockspeed:2.0 GHzTurbo Speed:2.4 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1567Clockspeed:2.0 GHzTurbo Speed:2.4 GHz8 (2 logical cores per physical)Max TDP:130 W,[Dual CPU] Intel Xeon X7550 @ 2.00GHz,Description:Socket:LGA15672.0 GHzTurbo Speed:2.4 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W,,9937,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X7550+%40+2.00GHz&id=2141&cpuCount=2,Intel(R) Xeon(R) CPU X7550 @ 2.00GHz,,Socket:LGA1567Clockspeed:2.0 GHzTurbo Speed:2.4 GHzNo of Cores:8 (2 logical cores per physical)Max TDP:130 W
Description:Socket:PGA604Clockspeed:2.7 GHz6Max TDP:130 W,[3-Way] Intel Xeon X7460 @ 2.66GHz,Description:Socket:PGA6042.7 GHzNo of Cores:6Max TDP:130 W,,7672,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X7460+%40+2.66GHz&id=2656&cpuCount=3,Intel(R) Xeon(R) CPU X7460 @ 2.66GHz,,Socket:PGA604Clockspeed:2.7 GHzNo of Cores:6Max TDP:130 W
Description:Socket:604Clockspeed:2.9 GHz4Max TDP:130 W,[Dual CPU] Intel Xeon X7350 @ 2.93GHz,Description:Socket:6042.9 GHzNo of Cores:4Max TDP:130 W,,6640,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X7350+%40+2.93GHz&id=2156&cpuCount=2,Intel(R) Xeon(R) CPU X7350 @ 2.93GHz,,Socket:604Clockspeed:2.9 GHzNo of Cores:4Max TDP:130 W
Description:Socket:604Clockspeed:2.9 GHz4Max TDP:130 W,[Quad CPU] Intel Xeon X7350 @ 2.93GHz,Description:Socket:6042.9 GHzNo of Cores:4Max TDP:130 W,,9238,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X7350+%40+2.93GHz&id=2156&cpuCount=4,Intel(R) Xeon(R) CPU X7350 @ 2.93GHz,,Socket:604Clockspeed:2.9 GHzNo of Cores:4Max TDP:130 W
Description:Socket:LGA1366Clockspeed:4.4 GHz2 (2 logical cores per physical)Max TDP:130 W,[Dual CPU] Intel Xeon X5698 @ 4.40GHz,Description:Socket:LGA13664.4 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:130 W,,8974,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5698+%40+4.40GHz&id=1928&cpuCount=2,Intel(R) Xeon(R) CPU X5698 @ 4.40GHz,,Socket:LGA1366Clockspeed:4.4 GHzNo of Cores:2 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1366Clockspeed:3.5 GHzTurbo Speed:3.7 GHz6 (2 logical cores per physical)Max TDP:130 W,[Dual CPU] Intel Xeon X5690 @ 3.47GHz,Description:Socket:LGA13663.5 GHzTurbo Speed:3.7 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W,,14308,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5690+%40+3.47GHz&id=1314&cpuCount=2,Intel(R) Xeon(R) CPU X5690 @ 3.47GHz,,Socket:LGA1366Clockspeed:3.5 GHzTurbo Speed:3.7 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1366Clockspeed:3.5 GHzTurbo Speed:3.7 GHz6 (2 logical cores per physical)Max TDP:130 W,Intel Xeon X5690 @ 3.47GHz,Description:Socket:LGA13663.5 GHzTurbo Speed:3.7 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W,,9186Single Thread Rating: 1519,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5690+%40+3.47GHz&id=1314&multi=2,Intel(R) Xeon(R) CPU X5690 @ 3.47GHz,,Socket:LGA1366Clockspeed:3.5 GHzTurbo Speed:3.7 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1366Clockspeed:3.6 GHzTurbo Speed:3.9 GHz4 (2 logical cores per physical)Max TDP:130 W,[Dual CPU] Intel Xeon X5687 @ 3.60GHz,Description:Socket:LGA13663.6 GHzTurbo Speed:3.9 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:130 W,,12224,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5687+%40+3.60GHz&id=1313&cpuCount=2,Intel(R) Xeon(R) CPU X5687 @ 3.60GHz,,Socket:LGA1366Clockspeed:3.6 GHzTurbo Speed:3.9 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1366Clockspeed:3.6 GHzTurbo Speed:3.9 GHz4 (2 logical cores per physical)Max TDP:130 W,Intel Xeon X5687 @ 3.60GHz,Description:Socket:LGA13663.6 GHzTurbo Speed:3.9 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:130 W,,7190Single Thread Rating: 1577,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5687+%40+3.60GHz&id=1313&multi=2,Intel(R) Xeon(R) CPU X5687 @ 3.60GHz,,Socket:LGA1366Clockspeed:3.6 GHzTurbo Speed:3.9 GHzNo of Cores:4 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1366Clockspeed:3.3 GHzTurbo Speed:3.6 GHz6 (2 logical cores per physical)Max TDP:130 W,[Dual CPU] Intel Xeon X5680 @ 3.33GHz,Description:Socket:LGA13663.3 GHzTurbo Speed:3.6 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W,,13971,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5680+%40+3.33GHz&id=1312&cpuCount=2,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,,Socket:LGA1366Clockspeed:3.3 GHzTurbo Speed:3.6 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1366Clockspeed:3.3 GHzTurbo Speed:3.6 GHz6 (2 logical cores per physical)Max TDP:130 W,Intel Xeon X5680 @ 3.33GHz,Description:Socket:LGA13663.3 GHzTurbo Speed:3.6 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W,,8950Single Thread Rating: 1459,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5680+%40+3.33GHz&id=1312&multi=2,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,,Socket:LGA1366Clockspeed:3.3 GHzTurbo Speed:3.6 GHzNo of Cores:6 (2 logical cores per physical)Max TDP:130 W
Description:Socket:LGA1366Clockspeed:3.2 GHzTurbo Speed:3.6 GHz6 (2 logical cores per physical),Intel Xeon X5679 @ 3.20GHz,Description:Socket:LGA13663.2 GHzTurbo Speed:3.6 GHzNo of Cores:6 (2 logical cores per physical),,8652Single Thread Rating: 1442,http://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+X5679+%40+3.20GHz&id=1311&multi=2,Intel(R) Xeon(R) CPU X5679 @ 3.20GHz,,Socket:LGA1366Clockspeed:3.2 GHzTurbo Speed:3.6 GHzNo of Cores:6 (2 logical cores per physical)
