memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>Lenovo ThinkPad Edge E560 20EV001BXS Notebook Árak - Lenovo ThinkPad Edge E560 20EV001BXS Laptop Akció</title>,2 GB,2.5 GHz,,"
          254 990 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/thinkpad-edge-e560-20ev001bxs-p340236640/,AMD Radeon R7 M370,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
64 GB,<title>Dell Alienware 17 AW17-8 Notebook Árak - Dell Alienware 17 AW17-8 Laptop Akció</title>,3 GB,2.6 GHz,2,"
          703 796 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/dell/alienware-17-aw17-8-p327470261/,Nvidia GeForce GTX 970M,8 GB,Dedikált,6700HQ,1600 MHz,"17.3"""
,<title>ASUS ROG G501VW-FW151T Notebook Árak - ASUS ROG G501VW-FW151T Laptop Akció</title>,4 GB,2.6 GHz,,"
          358 900 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g501vw-fw151t-p345791656/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
,<title>MSI GP62-2QEi781 Notebook Árak - MSI GP62-2QEi781 Laptop Akció</title>,2 GB,2.7 GHz,,"
          314 309 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/gp62-2qei781-p306532449/,Nvidia GeForce GTX 950M,8 GB,Dedikált,5700HQ,1600 MHz,"15.6"""
64 GB,<title>ASUS ROG G752VT-GC063T Notebook Árak - ASUS ROG G752VT-GC063T Laptop Akció</title>,3 GB,2.6 GHz,,"
          652 990 Ft
        ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g752vt-gc063t-p327040999/,Nvidia GeForce GTX 970M,16 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
16 GB,<title>ASUS X756UB-TY028T Notebook Árak - ASUS X756UB-TY028T Laptop Akció</title>,2 GB,2.5 GHz,2,"
          247 185 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,1600 x 900,http://www.arukereso.hu/notebook-c3100/asus/x756ub-ty028t-p333895550/,Nvidia GeForce 940M,8 GB,Dedikált,6500U,1600 MHz,"17.3"""
,<title>MSI GE72VR-6RF16H21 Notebook Árak - MSI GE72VR-6RF16H21 Laptop Akció</title>,6 GB,2.6 GHz,,"
          632 990 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/ge72vr-6rf16h21-p345595422/,Nvidia GeForce GTX 1060,16 GB,Dedikált,6700HQ,,"17.3"""
,<title>MSI GS40-6QE16H11 Notebook Árak - MSI GS40-6QE16H11 Laptop Akció</title>,3 GB,2.6 GHz,,"
          699 920 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/gs40-6qe16h11-p325036423/,Nvidia GeForce GTX 970M,16 GB,Dedikált,6700HQ,,"14"""
,<title>Lenovo IdeaPad U41-70 80JV009QCK Notebook Árak - Lenovo IdeaPad U41-70 80JV009QCK Laptop Akció</title>,2 GB,2.4 GHz,,"
          299 990 Ft
        ",Windows 8.1,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/ideapad-u41-70-80jv009qck-p290580867/,Nvidia GeForce 920M,4 GB,Dedikált,5500U,1600 MHz,"14"""
,<title>ASUS F756UB-T4024T Notebook Árak - ASUS F756UB-T4024T Laptop Akció</title>,2 GB,2.5 GHz,,"
          301 900 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/f756ub-t4024t-p334674380/,Nvidia GeForce 940M,8 GB,Dedikált,6500U,1600 MHz,"17.3"""
16 GB,<title>ASUS ROG GL752VW-T4064D Notebook Árak - ASUS ROG GL752VW-T4064D Laptop Akció</title>,2 GB,2.6 GHz,2,"
          341 598 Ft
        ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-gl752vw-t4064d-p335739436/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"17,3"""
16 GB,<title>HP ProBook 470 G3 P5R21EA Notebook Árak - HP ProBook 470 G3 P5R21EA Laptop Akció</title>,2 GB,2.5 GHz,2,"
          318 900 Ft
        ",Windows 10 Pro,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/hp/probook-470-g3-p5r21ea-p327183611/,AMD Radeon R7 M340,8 GB,Dedikált,6500U,1600 MHz,"17.3"""
,<title>ASUS ROG GL752VW-T4130T Notebook Árak - ASUS ROG GL752VW-T4130T Laptop Akció</title>,2 GB,,,"
          453 990 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-gl752vw-t4130t-p328582173/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,,"17.3"""
,<title>MSI GS70 2QD-667CZ Notebook Árak - MSI GS70 2QD-667CZ Laptop Akció</title>,2 GB,2.7 GHz,,"
          526 990 Ft-tól
      ",Windows 8.1,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/gs70-2qd-667cz-p295512737/,Nvidia GeForce GTX 965M,16 GB,Dedikált,5700HQ,1600 MHz,"17.3"""
,<title>ASUS ROG G752VY-GC084T Notebook Árak - ASUS ROG G752VY-GC084T Laptop Akció</title>,4 GB,,,"
          732 990 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g752vy-gc084t-p332678469/,Nvidia GeForce GTX 980M,16 GB,Dedikált,6700HQ,,"17.3"""
32 GB,<title>HP ZBook Studio G3 T3U10AW Notebook Árak - HP ZBook Studio G3 T3U10AW Laptop Akció</title>,4 GB,2.7 GHz,2,"
          1 046 778 Ft
        ",Windows 10 Pro,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/hp/zbook-studio-g3-t3u10aw-p333137753/,Nvidia Quadro M1000M,8 GB,Dedikált,6820HQ,2133 MHz,"15.6"""
,<title>Dell Inspiron 7559 INSP7559-13 Notebook Árak - Dell Inspiron 7559 INSP7559-13 Laptop Akció</title>,4 GB,2.6 GHz,,"
          333 802 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/dell/inspiron-7559-insp7559-13-p343765172/,Nvidia GeForce GTX 960M,16 GB,Dedikált,6700HQ,1600 MHz,"15.6"""
,<title>Lenovo IdeaPad Y700 80NV00MJCK Notebook Árak - Lenovo IdeaPad Y700 80NV00MJCK Laptop Akció</title>,4 GB,2.6 GHz,,"
          419 900 Ft
        ",,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/ideapad-y700-80nv00mjck-p337098276/,Nvidia GeForce GTX 960M,16 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
16 GB,<title>MSI PX60-2QDi781 Notebook Árak - MSI PX60-2QDi781 Laptop Akció</title>,2 GB,2.7 GHz,2,"
          379 990 Ft
        ",Windows 8.1,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/px60-2qdi781-p286086005/,Nvidia GeForce GTX 950M,8 GB,Dedikált,5700HQ,1600 MHz,"15.6"""
,<title>Dell Inspiron 5559 INSP5559-31 Notebook Árak - Dell Inspiron 5559 INSP5559-31 Laptop Akció</title>,2 GB,2.5 GHz,,"
          217 681 Ft-tól
      ",Linux,Intel Core i7,DDR3,1366 x 768,http://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-insp5559-31-p341296046/,AMD Radeon R5 M335,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>Acer Aspire V Nitro VN7-792G-73T2 W10 NH.G6VEC.001 Notebook Árak - Acer Aspire V Nitro VN7-792G-73T2 W10 NH.G6VEC.001 Laptop Akció</title>,4 GB,2.6 GHz,,"
          464 990 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/acer/aspire-v-nitro-vn7-792g-73t2-w10-nh-g6vec-001-p333894308/,Nvidia GeForce GTX 960M,16 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
,<title>ASUS K501UX-DM305T Notebook Árak - ASUS K501UX-DM305T Laptop Akció</title>,4 GB,2.5 GHz,,"
          322 990 Ft
        ",,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/k501ux-dm305t-p344821204/,Nvidia GeForce GTX 950M,12 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>MSI PE70-6QEi781 Notebook Árak - MSI PE70-6QEi781 Laptop Akció</title>,2 GB,2.6 GHz,,"
          399 990 Ft-tól
      ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/pe70-6qei781-p325036143/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,,"17.3"""
,<title>ASUS ZenBook UX310UQ-GL011T Notebook Árak - ASUS ZenBook UX310UQ-GL011T Laptop Akció</title>,,2.5 GHz,,"
          433 940 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/zenbook-ux310uq-gl011t-p345846406/,Nvidia GeForce 940M,16 GB,Dedikált,6500U,,"13.3"""
16 GB,<title>Dell Inspiron 5559 INSP5559-11 Notebook Árak - Dell Inspiron 5559 INSP5559-11 Laptop Akció</title>,4 GB,2.5 GHz,2,"
          224 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1366 x 768,http://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-insp5559-11-p330297821/,AMD Radeon R5 M335,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>HP ENVY 17-n105nc P7T68EA Notebook Árak - HP ENVY 17-n105nc P7T68EA Laptop Akció</title>,2 GB,2.5 GHz,,"
          295 990 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/hp/envy-17-n105nc-p7t68ea-p308117521/,Nvidia GeForce 940M,8 GB,Dedikált,6500U,1600 MHz,"17.3"""
32 GB,<title>Lenovo ThinkPad P50s 20FL000DHV Notebook Árak - Lenovo ThinkPad P50s 20FL000DHV Laptop Akció</title>,2 GB,2.5 GHz,2,"
          545 234 Ft-tól
      ",Windows 10 Pro,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/thinkpad-p50s-20fl000dhv-p333137049/,Nvidia Quadro M500M,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>HP ENVY 15-ae102nh P1P90EA Notebook Árak - HP ENVY 15-ae102nh P1P90EA Laptop Akció</title>,4 GB,2.5 GHz,,"
          429 990 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,3840 x 2160,http://www.arukereso.hu/notebook-c3100/hp/envy-15-ae102nh-p1p90ea-p327728193/,Nvidia GeForce GTX 950M,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
,<title>MSI GT72S-6QF32SR45BWR Notebook Árak - MSI GT72S-6QF32SR45BWR Laptop Akció</title>,8 GB,2.7 GHz,,"
          1 359 990 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/msi/gt72s-6qf32sr45bwr-p332552451/,Nvidia GeForce GTX 980M,32 GB,Dedikált,6820HK,,"17.3"""
,<title>ASUS ROG GL502VT-FY010T Notebook Árak - ASUS ROG GL502VT-FY010T Laptop Akció</title>,3 GB,2.6 GHz,,"
          469 900 Ft
        ",,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-gl502vt-fy010t-p340687636/,Nvidia GeForce GTX 970M,8 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
,<title>Acer Aspire VN7-792G-76A3 LIN NH.G6VEU.003 Notebook Árak - Acer Aspire VN7-792G-76A3 LIN NH.G6VEU.003 Laptop Akció</title>,4 GB,2.6 GHz,,"
          347 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/acer/aspire-vn7-792g-76a3-lin-nh-g6veu-003-p343558050/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
,<title>Acer Aspire E5-772G-753L LIN NX.MVEEU.002 Notebook Árak - Acer Aspire E5-772G-753L LIN NX.MVEEU.002 Laptop Akció</title>,4 GB,2.4 GHz,2,"
          219 900 Ft
        ",Linux,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/acer/aspire-e5-772g-753l-lin-nx-mveeu-002-p283389193/,Nvidia GeForce 940M,8 GB,Dedikált,5500U,1600 MHz,"17.3"""
,<title>Dell Inspiron 7559 7559-0092 Notebook Árak - Dell Inspiron 7559 7559-0092 Laptop Akció</title>,4 GB,2.6 GHz,,"
          316 990 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/dell/inspiron-7559-7559-0092-p327101171/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,1600 MHz,"15.6"""
,<title>Dell XPS 9550 9550-4945 Notebook Árak - Dell XPS 9550 9550-4945 Laptop Akció</title>,2 GB,2.6 GHz,,"
          616 890 Ft-tól
      ",Windows 10 Home,Intel Core i7,,3840 x 2160,http://www.arukereso.hu/notebook-c3100/dell/xps-9550-9550-4945-p325037479/,Nvidia GeForce GTX 960M,16 GB,Dedikált,6700HQ,,"15.6"""
,<title>Dell Alienware 17 A17-9911 Notebook Árak - Dell Alienware 17 A17-9911 Laptop Akció</title>,3 GB,2.6 GHz,,"
          657 990 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/dell/alienware-17-a17-9911-p312989363/,Nvidia GeForce GTX 970M,8 GB,Dedikált,6700HQ,,"17.3"""
,<title>Lenovo IdeaPad Y700 80Q000BBPB Notebook Árak - Lenovo IdeaPad Y700 80Q000BBPB Laptop Akció</title>,,2.6 GHz,,"
          328 717 Ft-tól
      ",,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/ideapad-y700-80q000bbpb-p345847268/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
32 GB,<title>HP ZBook 15 F0U62EA Notebook Árak - HP ZBook 15 F0U62EA Laptop Akció</title>,2 GB,2.4 GHz,4,"
          618 990 Ft
        ",Windows 7 Professional,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/hp/zbook-15-f0u62ea-p197447735/,Nvidia Quadro K2100M,8 GB,Dedikált,4700MQ,1600 MHz,"15.6"""
,<title>Acer Predator G9-792-7215 W10 NH.Q0QEC.002 Notebook Árak - Acer Predator G9-792-7215 W10 NH.Q0QEC.002 Laptop Akció</title>,6 GB,2.6 GHz,,"
          652 850 Ft
        ",Windows 10 Home,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/acer/predator-g9-792-7215-w10-nh-q0qec-002-p341924620/,Nvidia GeForce GTX 970M,16 GB,Dedikált,6700HQ,,"17.3"""
16 GB,<title>Dell Inspiron 5559 INSP5559-7 Notebook Árak - Dell Inspiron 5559 INSP5559-7 Laptop Akció</title>,4 GB,2.5 GHz,2,"
          288 390 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-insp5559-7-p328732517/,AMD Radeon R5 M335,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
