core,name,clock,price,rank,link,other_name,g3d_mark,description
Socket:AM2+/AM3Clockspeed:3.5 GHz2Typical TDP:65 W,AMD Phenom II X2 521,Socket:AM2+/AM33.5 GHzNo of Cores:2Typical TDP:65 W,,2091Single Thread Rating: 1129,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+521&id=330,AMD Phenom(tm) II X2 521 Processor,,
Socket:AM2+/AM3Clockspeed:3.4 GHz2Typical TDP:65 W,AMD Phenom II X2 511,Socket:AM2+/AM33.4 GHzNo of Cores:2Typical TDP:65 W,,2104Single Thread Rating: 1153,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+X2+511&id=329,AMD Phenom(tm) II X2 511 Processor,,
Socket:S1Clockspeed:1.7 GHz4Typical TDP:35 W,AMD Phenom II P940 Quad-Core,Socket:S11.7 GHzNo of Cores:4Typical TDP:35 W,,1820Single Thread Rating: 497,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P940+Quad-Core&id=327,AMD Phenom(tm) II P940 Quad-Core Processor,,
Socket:S1Clockspeed:1.8 GHz4Typical TDP:35 W,AMD Phenom II P960 Quad-Core,Socket:S11.8 GHzNo of Cores:4Typical TDP:35 W,,2093Single Thread Rating: 608,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P960+Quad-Core&id=328,AMD Phenom(tm) II P960 Quad-Core Processor,,
Socket:S1Clockspeed:1.6 GHz4Typical TDP:25 W,AMD Phenom II P920 Quad-Core,Socket:S11.6 GHzNo of Cores:4Typical TDP:25 W,,1881Single Thread Rating: 511,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P920+Quad-Core&id=326,AMD Phenom(tm) II P920 Quad-Core Processor,,
Socket:S1Clockspeed:2.0 GHz3Typical TDP:35 W,AMD Phenom II P860 Triple-Core,Socket:S12.0 GHzNo of Cores:3Typical TDP:35 W,,1759Single Thread Rating: 645,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P860+Triple-Core&id=325,AMD Phenom(tm) II P860 Triple-Core Processor,,
Socket:S1Clockspeed:1.9 GHz3Typical TDP:35 W,AMD Phenom II P840 Triple-Core,Socket:S11.9 GHzNo of Cores:3Typical TDP:35 W,,1731Single Thread Rating: 625,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P840+Triple-Core&id=324,AMD Phenom(tm) II P840 Triple-Core Processor,,
Socket:S1Clockspeed:2.6 GHz2Typical TDP:35 W,AMD Phenom II P650 Dual-Core,Socket:S12.6 GHzNo of Cores:2Typical TDP:35 W,,1603Single Thread Rating: 873,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P650+Dual-Core&id=322,AMD Phenom(tm) II P650 Dual-Core Processor,,
Socket:S1Clockspeed:1.8 GHz3Typical TDP:25 W,AMD Phenom II P820 Triple-Core,Socket:S11.8 GHzNo of Cores:3Typical TDP:25 W,,1611Single Thread Rating: 596,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+P820+Triple-Core&id=323,AMD Phenom(tm) II P820 Triple-Core Processor,,
Socket:S1Clockspeed:2.2 GHz4Typical TDP:35 W,AMD Phenom II N970 Quad-Core,Socket:S12.2 GHzNo of Cores:4Typical TDP:35 W,,2518Single Thread Rating: 723,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N970+Quad-Core&id=321,AMD Phenom(tm) II N970 Quad-Core Processor,,
Socket:S1Clockspeed:2.1 GHz4Typical TDP:35 W,AMD Phenom II N950 Quad-Core,Socket:S12.1 GHzNo of Cores:4Typical TDP:35 W,,2488Single Thread Rating: 719,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N950+Quad-Core&id=320,AMD Phenom(tm) II N950 Quad-Core Processor,,
Socket:S1Clockspeed:2.0 GHz4Typical TDP:35 W,AMD Phenom II N930 Quad-Core,Socket:S12.0 GHzNo of Cores:4Typical TDP:35 W,,2269Single Thread Rating: 644,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N930+Quad-Core&id=319,AMD Phenom(tm) II N930 Quad-Core Processor,,
Socket:S1Clockspeed:2.3 GHz3Typical TDP:35 W,AMD Phenom II N870 Triple-Core,Socket:S12.3 GHzNo of Cores:3Typical TDP:35 W,,1980Single Thread Rating: 721,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N870+Triple-Core&id=318,AMD Phenom(tm) II N870 Triple-Core Processor,,
Socket:S1Clockspeed:2.2 GHz3Typical TDP:35 W,AMD Phenom II N850 Triple-Core,Socket:S12.2 GHzNo of Cores:3Typical TDP:35 W,,1934Single Thread Rating: 729,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N850+Triple-Core&id=317,AMD Phenom(tm) II N850 Triple-Core Processor,,
Socket:S1Clockspeed:2.8 GHz3Typical TDP:35 W,AMD Phenom II N830 Triple-Core,Socket:S12.8 GHzNo of Cores:3Typical TDP:35 W,,1885Single Thread Rating: 678,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N830+Triple-Core&id=316,AMD Phenom(tm) II N830 Triple-Core Processor,,
Socket:S1Clockspeed:2.1 GHz4Typical TDP:35 W,AMD Phenom II N830 3+1,Socket:S12.1 GHzNo of Cores:4Typical TDP:35 W,,2652Single Thread Rating: 763,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N830+3%2B1&id=2320,AMD Phenom(tm) II N830 3+1,,
Socket:S1Clockspeed:3.0 GHz2Typical TDP:35 W,AMD Phenom II N660 Dual-Core,Socket:S13.0 GHzNo of Cores:2Typical TDP:35 W,,1851Single Thread Rating: 970,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N660+Dual-Core&id=315,AMD Phenom(tm) II N660 Dual-Core Processor,,
Socket:S1Clockspeed:2.9 GHz2Typical TDP:35 W,AMD Phenom II N640 Dual-Core,Socket:S12.9 GHzNo of Cores:2Typical TDP:35 W,,1740Single Thread Rating: 917,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N640+Dual-Core&id=314,AMD Phenom(tm) II N640 Dual-Core Processor,,
Clockspeed:2.0 GHz4,AMD Phenom II 42 TWKR Black Edition,2.0 GHzNo of Cores:4,,3489Single Thread Rating: 0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+42+TWKR+Black+Edition&id=312,AMD Phenom(tm) II 42 TWKR Black Edition,,
Socket:S1Clockspeed:2.8 GHz2Typical TDP:35 W,AMD Phenom II N620 Dual-Core,Socket:S12.8 GHzNo of Cores:2Typical TDP:35 W,,1677Single Thread Rating: 912,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+II+N620+Dual-Core&id=313,AMD Phenom(tm) II N620 Dual-Core Processor,,
Socket:AM2+Clockspeed:2.7 GHz4Typical TDP:95 W,AMD Phenom FX-7750 Quad-Core,Socket:AM2+2.7 GHzNo of Cores:4Typical TDP:95 W,,3616Single Thread Rating: 0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+FX-7750+Quad-Core&id=311,AMD Phenom(tm) FX-7750 Quad-Core Processor,,
Socket:AM3Clockspeed:2.3 GHz4Typical TDP:65 W,AMD Phenom FX-5200 Quad-Core,Socket:AM32.3 GHzNo of Cores:4Typical TDP:65 W,,2948Single Thread Rating: 805,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+FX-5200+Quad-Core&id=310,AMD Phenom(tm) FX-5200 Quad-Core Processor,,
Socket:AM2+Clockspeed:2.2 GHz4Typical TDP:65 W,AMD Phenom FX-5000 Quad-Core,Socket:AM2+2.2 GHzNo of Cores:4Typical TDP:65 W,,2518Single Thread Rating: 712,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Phenom+FX-5000+Quad-Core&id=309,AMD Phenom(tm) FX-5000 Quad-Core Processor,,
