memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>Acer Aspire 5 A517-51G-50LG NX.GSXEU.001 Notebook Árak - Acer Aspire 5 A517-51G-50LG NX.GSXEU.001 Laptop Akció</title>,2 GB,1.60 GHz,,"
          209 900 Ft-tól
      ",Endless OS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a517-51g-50lg-nx-gsxeu-001-p393465805/,GeForce MX150,4 GB,Dedikált,8250U,2133 MHz,"17.3"""
,<title>Acer Aspire 5 A515-51G-5934 LIN NX.GTCEU.001 Notebook Árak - Acer Aspire 5 A515-51G-5934 LIN NX.GTCEU.001 Laptop Akció</title>,2 GB,1.60 GHz,,"
          208 780 Ft-tól
      ",Endless OS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a515-51g-5934-lin-nx-gtceu-001-p388909653/,GeForce MX150,4 GB,Dedikált,8250U,2133 MHz,"15.6"""
,<title>HP 15-ac133nh V2H89EA Notebook Árak - HP 15-ac133nh V2H89EA Laptop Akció</title>,2 GB,2 GHz,,"
          169 899 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1920 x 1080,https://www.arukereso.hu/notebook-c3100/hp/15-ac133nh-v2h89ea-p329159551/,AMD Radeon R5 M330,4 GB,Dedikált,4510U,1600 MHz,"15.6"""
,<title>Acer Aspire 5 A515-51G-52TL LIN NX.GPDEU.014 Notebook Árak - Acer Aspire 5 A515-51G-52TL LIN NX.GPDEU.014 Laptop Akció</title>,2 GB,2.5 GHz,,"
          164 990 Ft-tól
      ",Linux,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a515-51g-52tl-lin-nx-gpdeu-014-p383551901/,GeForce 940MX,4 GB,Dedikált,7200U,2133 MHz,"15.6"""
,<title>Acer Aspire E5-774G-573Q LIN NX.GG7EU.029 Notebook Árak - Acer Aspire E5-774G-573Q LIN NX.GG7EU.029 Laptop Akció</title>,2 GB,2.5 GHz,2,"
          217 392 Ft-tól
      ",Linux,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-e5-774g-573q-lin-nx-gg7eu-029-p372602819/,Nvidia GeForce 940MX,4 GB,Dedikált,7200U,2133 MHz,"17.3"""
,<title>Dell Inspiron 5567 229105 Notebook Árak - Dell Inspiron 5567 229105 Laptop Akció</title>,4 GB,2.7 GHz,,"
          299 888 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-5567-229105-p365594529/,AMD Radeon R7 M445,16 GB,Dedikált,7500U,2400 MHz,"15.6"""
,<title>Lenovo IdeaPad 320 80XV00URHV Notebook Árak - Lenovo IdeaPad 320 80XV00URHV Laptop Akció</title>,,2.50 GHz,,"
          115 076 Ft-tól
      ",FreeDOS,AMD A-sorozat,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-320-80xv00urhv-p397854265/,Radeon R5,4 GB,Dedikált,A6-9220,2133 MHz,"15.6"""
,<title>ASUS VivoBook 15 X542UN-DM144 Notebook Árak - ASUS VivoBook 15 X542UN-DM144 Laptop Akció</title>,,1.80 GHz,2,"
          249 911 Ft-tól
      ",Endless OS,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/vivobook-15-x542un-dm144-p397398005/,GeForce MX150,8 GB,Dedikált,8550U,2400 MHz,"15.6"""
,<title>Acer Aspire 5 A517-51G-82HF NX.GSXEU.004 Notebook Árak - Acer Aspire 5 A517-51G-82HF NX.GSXEU.004 Laptop Akció</title>,,1.8 GHz,,"
          276 490 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a517-51g-82hf-nx-gsxeu-004-p393696151/,GeForce MX150,8 GB,Dedikált,8550U,2133 MHz,"17.3"""
,<title>Lenovo IdeaPad 320 80XH01T1HV Notebook Árak - Lenovo IdeaPad 320 80XH01T1HV Laptop Akció</title>,2 GB,2 GHz,,"
          159 990 Ft-tól
      ",Windows 10 Home,Intel Core i3,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-320-80xh01t1hv-p396427429/,GeForce 920MX,4 GB,Dedikált,6006U,2133 MHz,"15,6"""
